"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Collection Time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P55-1"	"1"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P43-1"	"1"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P34-1"	"1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P1-1"	"1"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P39-1"	"1"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P2-1"	"1"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P57-1"	"1"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P14-1"	"1"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC6"	""	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P16-1"	"1"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P60-1"	"1"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P54-1"	"1"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P13-1"	"1"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P6-1"	"1"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P45-1"	"1"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P33-1"	"1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P17-1"	"1"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC7"	""	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P40-1"	"1"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P28-1"	"1"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P53-1"	"1"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P36-1"	"1"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P25-1"	"1"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P37-1"	"1"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P3-1"	"1"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P51-1"	"1"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC8"	""	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P41-1"	"1"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P32-1"	"1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P18-1"	"1"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P38-1"	"1"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P27-1"	"1"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P24-1"	"1"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P50-1"	"1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P15-1"	"1"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC9"	""	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P4-1"	"1"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P8-1"	"1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P20-1"	"1"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P5-1"	"1"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P42-1"	"1"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P12-1"	"1"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P59-1"	"1"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P19-1"	"1"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC10p"	""	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P35-1"	"1"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P7-1"	"1"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P47-1"	"1"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P49-1"	"1"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P23-1"	"1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P63-1"	"1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P56-1"	"1"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P9-1"	"1"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC11p"	""	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P22-1"	"1"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P26-1"	"1"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P46-1"	"1"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P62-1"	"1"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P30-1"	"1"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P58-1"	"1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"P11-1"	"1"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Plasma"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC12p"	""	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Saliva"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"QC10s"	""	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Saliva"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"008-5-0hr-Rep1"	"1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Saliva"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"003-9-0hr-Rep1"	"1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Saliva"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"001-9-12hr-Rep1"	"1"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Saliva"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"009-5-0hr-Rep1"	"1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Saliva"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"006-5-0hr-Rep1"	"1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Saliva"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"001-5-0hr-Rep1"	"1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Saliva"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"008-9-0hr-Rep1"	"1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Saliva"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"001-10-24hr-Rep1"	"1"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Saliva"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"QC11s"	""	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Saliva"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"004-5-12hr-Rep1"	"1"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Saliva"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"008-7-48hr-Rep1"	"1"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Saliva"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"001-6-24hr-Rep1"	"1"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Saliva"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"saliva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001202"	"Sample collection"	"003-9-12hr-Rep1"	"1"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
