"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time after treatment]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"
"Mut_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut_1"	"opr3"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp2"	""	""
"Mut_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut_2"	"opr3"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp2"	""	""
"Mut_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut_3"	"opr3"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp2"	""	""
"Mut_4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut_4"	"opr3"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp2"	""	""
"Mut_5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut_5"	"opr3"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp2"	""	""
"Mut_6"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut_6"	"opr3"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp2"	""	""
"Mut_7"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut_7"	"opr3"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp2"	""	""
"Mut_8"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut_8"	"opr3"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp2"	""	""
"Mut_9"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut_9"	"opr3"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp2"	""	""
"Mut_10"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut_10"	"opr3"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp2"	""	""
"Mut1h_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut1h_1"	"opr3"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp3"	""	""
"Mut1h_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut1h_2"	"opr3"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp3"	""	""
"Mut1h_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut1h_3"	"opr3"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp3"	""	""
"Mut1h_4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut1h_4"	"opr3"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp3"	""	""
"Mut1h_5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut1h_5"	"opr3"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp3"	""	""
"Mut1h_6"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut1h_6"	"opr3"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp3"	""	""
"Mut1h_7"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut1h_7"	"opr3"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp3"	""	""
"Mut1h_8"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut1h_8"	"opr3"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp3"	""	""
"Mut1h_9"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut1h_9"	"opr3"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp3"	""	""
"Mut1h_10"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut1h_10"	"opr3"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp3"	""	""
"Mut4h_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Mut4h_1"	"opr3"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp4"	""	""
