"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Exercise]"	"Term Source REF"	"Term Accession Number"
"02_4_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"02_4_pre"	"3"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Pre-exercise"	""	""
"02_4_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"02_4_pos"	"3"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Post-exercise"	""	""
"03_1_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"03_1_pre"	"5"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Pre-exercise"	""	""
"03_1_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"03_1_pos"	"5"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Post-exercise"	""	""
"03_3_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"03_3_pre"	"5"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Pre-exercise"	""	""
"03_3_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"03_3_pos"	"5"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Post-exercise"	""	""
"03_4_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"03_4_pre"	"5"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Pre-exercise"	""	""
"03_4_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"03_4_pos"	"5"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Post-exercise"	""	""
"04_1_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"04_1_pre"	"7"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Pre-exercise"	""	""
"04_1_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"04_1_pos"	"7"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Post-exercise"	""	""
"04_3_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"04_3_pre"	"7"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Pre-exercise"	""	""
"04_3_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"04_3_pos"	"7"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Post-exercise"	""	""
"04_4_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"04_4_pre"	"7"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Pre-exercise"	""	""
"04_4_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"04_4_pos"	"7"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Male"	""	""	"Post-exercise"	""	""
"05_1_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"05_1_pre"	"7"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"05_1_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"05_1_pos"	"7"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"05_3_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"05_3_pre"	"7"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"05_3_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"05_3_pos"	"7"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"05_4_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"05_4_pre"	"7"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"05_4_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"05_4_pos"	"7"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"06_1_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"06_1_pre"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"06_1_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"06_1_pos"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"06_2_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"06_2_pre"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"06_2_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"06_2_pos"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"06_3_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"06_3_pre"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"06_3_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"06_3_pos"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"07_1_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"07_1_pre"	"3"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"07_1_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"07_1_pos"	"3"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"07_2_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"07_2_pre"	"3"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"07_2_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"07_2_pos"	"3"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"07_3_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"07_3_pre"	"3"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"07_3_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"07_3_pos"	"3"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"08_1_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"08_1_pre"	"4"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"08_1_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"08_1_pos"	"4"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"08_2_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"08_2_pre"	"4"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"08_2_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"08_2_pos"	"4"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"08_3_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"08_3_pre"	"4"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"08_3_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"08_3_pos"	"4"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"09_1_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"09_1_pre"	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"09_1_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"09_1_pos"	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"09_2_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"09_2_pre"	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"09_2_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"09_2_pos"	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"09_3_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"09_3_pre"	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"09_3_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"09_3_pos"	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"10_1_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"10_1_pre"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"10_1_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"10_1_pos"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"10_2_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"10_2_pre"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"10_2_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"10_2_pos"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
"10_3_pre"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"10_3_pre"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Pre-exercise"	""	""
"10_3_pos"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"Standardbred"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000900"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"10_3_pos"	"8"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Female"	""	""	"Post-exercise"	""	""
