"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[stress]"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"
"upap1Dtt4_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_12"	"pap1Dtt4"	""	""	"unstressed"	""	""	"3"	""	""
"uMYB12OX_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_13"	"MYB12OX"	""	""	"unstressed"	""	""	"1"	""	""
"uMYB12OX_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_14"	"MYB12OX"	""	""	"unstressed"	""	""	"2"	""	""
"uMYB12OX_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_15"	"MYB12OX"	""	""	"unstressed"	""	""	"3"	""	""
"upap1D_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_16"	"pap1D"	""	""	"unstressed"	""	""	"1"	""	""
"upap1D_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_17"	"pap1D"	""	""	"unstressed"	""	""	"2"	""	""
"upap1D_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_18"	"pap1D"	""	""	"unstressed"	""	""	"3"	""	""
"uWOX1_1_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_19"	"WOX1_1"	""	""	"unstressed"	""	""	"1"	""	""
"uWOX1_1_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_20"	"WOX1_1"	""	""	"unstressed"	""	""	"2"	""	""
"uWOX1_1_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_21"	"WOX1_1"	""	""	"unstressed"	""	""	"3"	""	""
"uWOX1_2_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_22"	"WOX1_2"	""	""	"unstressed"	""	""	"1"	""	""
"uWOX1_2_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_23"	"WOX1_2"	""	""	"unstressed"	""	""	"2"	""	""
"uWOX1_2_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"RN_24"	"WOX1_2"	""	""	"unstressed"	""	""	"3"	""	""
"dCol0_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_25"	"Col0"	""	""	"drought"	""	""	"1"	""	""
"dCol0_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_26"	"Col0"	""	""	"drought"	""	""	"2"	""	""
"dCol0_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_27"	"Col0"	""	""	"drought"	""	""	"3"	""	""
"dtt4_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_28"	"tt4"	""	""	"drought"	""	""	"1"	""	""
"dtt4_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_29"	"tt4"	""	""	"drought"	""	""	"2"	""	""
"dtt4_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_30"	"tt4"	""	""	"drought"	""	""	"3"	""	""
"dMYB12OXtt4_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_31"	"MYB12OXtt4"	""	""	"drought"	""	""	"1"	""	""
"dMYB12OXtt4_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_32"	"MYB12OXtt4"	""	""	"drought"	""	""	"2"	""	""
"dMYB12OXtt4_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_33"	"MYB12OXtt4"	""	""	"drought"	""	""	"3"	""	""
"dpap1Dtt4_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_34"	"pap1Dtt4"	""	""	"drought"	""	""	"1"	""	""
"dpap1Dtt4_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_35"	"pap1Dtt4"	""	""	"drought"	""	""	"2"	""	""
"dpap1Dtt4_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_36"	"pap1Dtt4"	""	""	"drought"	""	""	"3"	""	""
"dMYB12OX_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_37"	"MYB12OX"	""	""	"drought"	""	""	"1"	""	""
"dMYB12OX_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_38"	"MYB12OX"	""	""	"drought"	""	""	"2"	""	""
"dMYB12OX_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_39"	"MYB12OX"	""	""	"drought"	""	""	"3"	""	""
"dpap1D_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_40"	"pap1D"	""	""	"drought"	""	""	"1"	""	""
"dpap1D_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_41"	"pap1D"	""	""	"drought"	""	""	"2"	""	""
"dpap1D_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_42"	"pap1D"	""	""	"drought"	""	""	"3"	""	""
"dWOX1_1_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_43"	"WOX1_1"	""	""	"drought"	""	""	"1"	""	""
"dWOX1_1_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_44"	"WOX1_1"	""	""	"drought"	""	""	"2"	""	""
"dWOX1_1_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_45"	"WOX1_1"	""	""	"drought"	""	""	"3"	""	""
"dWOX1_2_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_46"	"WOX1_2"	""	""	"drought"	""	""	"1"	""	""
"dWOX1_2_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_47"	"WOX1_2"	""	""	"drought"	""	""	"2"	""	""
"dWOX1_2_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"RN_48"	"WOX1_2"	""	""	"drought"	""	""	"3"	""	""
