"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[species]"	"Term Source REF"	"Term Accession Number"	"Factor Value[domestication]"	"Term Source REF"	"Term Accession Number"
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis labrusca x Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_105599"	"seed"	"BTO"	""	"Sample collection"	"Isabella"	"berry seeds"	""	""	"Vitis labrusca x Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_105599"	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Gewurtraminer"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"exocarp"	"BTO"	""	"Sample collection"	"skin qc"	"berry peel"	""	""	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Riesling"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"mesocarp"	"BTO"	""	"Sample collection"	"Moscato rosa"	"berry flesh"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis californica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_754096"	"mesocarp"	"BTO"	""	"Sample collection"	"Vitis californica"	"berry flesh"	""	""	"Vitis californica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_754096"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"mesocarp"	"BTO"	""	"Sample collection"	"Moscato rosa"	"berry flesh"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis Vinifera x Vitis berlandieri"	""	""	"mesocarp"	"BTO"	""	"Sample collection"	"Nero"	"berry flesh"	""	""	"Vitis Vinifera x Vitis berlandieri"	""	""	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Moscato ottonel"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"mesocarp"	"BTO"	""	"Sample collection"	"Moscato ottonel"	"berry flesh"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis Vinifera x Vitis berlandieri"	""	""	"seed"	"BTO"	""	"Sample collection"	"Nero"	"berry seeds"	""	""	"Vitis Vinifera x Vitis berlandieri"	""	""	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"mesocarp"	"BTO"	""	"Sample collection"	"pulp qc"	"berry flesh"	""	""	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Merlot"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis arizonica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_103353"	"seed"	"BTO"	""	"Sample collection"	"Vitis arizonica Texas"	"berry seeds"	""	""	"Vitis arizonica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_103353"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"exocarp"	"BTO"	""	"Sample collection"	"K5BB"	"berry peel"	""	""	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis cinerea"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_226012"	"exocarp"	"BTO"	""	"Sample collection"	"Vitis cinerea"	"berry peel"	""	""	"Vitis cinerea"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_226012"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Merlot"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Gewurztraminer"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Sauvignon blanc"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Moscato rosa"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"exocarp"	"BTO"	""	"Sample collection"	"skin qc"	"berry peel"	""	""	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Moscato rosa"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Moscato rosa"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis Vinifera x Vitis berlandieri"	""	""	"seed"	"BTO"	""	"Sample collection"	"41B maillard"	"berry seeds"	""	""	"Vitis Vinifera x Vitis berlandieri"	""	""	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis cinerea"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_226012"	"mesocarp"	"BTO"	""	"Sample collection"	"Vitis cinerea"	"berry flesh"	""	""	"Vitis cinerea"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_226012"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Merlot"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Sauviginon blanc"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
