"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism Part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Apple Sample]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spiking]"	"Term Source REF"	"Term Accession Number"
"Homogenate_G3_Apple8"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_8p"	"Apple8"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple9"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_9p"	"Apple9"	""	""	"GROUP3"	""	""
"Homogenate_G3_Apple10"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_group3_10p"	"Apple10"	""	""	"GROUP3"	""	""
"Homogenate_C_Apple1"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_1n"	"Apple1"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple2"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_2n"	"Apple2"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple3"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_3n"	"Apple3"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple4"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_4n"	"Apple4"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple5"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_5n"	"Apple5"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple6"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_6n"	"Apple6"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple7"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_7n"	"Apple7"	""	""	"CONTROL"	""	""
"Homogenate_C_Apple8"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Golden Delicious"	""	""	"mesocarp and exocarp"	""	""	"Sample collection"	"Apple_control_8n"	"Apple8"	""	""	"CONTROL"	""	""
