"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[season]"	"Unit"	"Term Source REF"	"Term Accession Number"
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-1-3_R3_fruit_2003"	"IL1-1-3"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-1-3_R4_fruit_2003"	"IL1-1-3"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-2_R1_fruit_2003"	"IL1-2"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-2_R2_fruit_2003"	"IL1-2"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-2_R3_fruit_2003"	"IL1-2"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-2_R4_fruit_2003"	"IL1-2"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-3_R1_fruit_2003"	"IL1-3"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-3_R2_fruit_2003"	"IL1-3"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-3_R3_fruit_2003"	"IL1-3"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-3_R4_fruit_2003"	"IL1-3"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-4_R1_fruit_2003"	"IL1-4"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-4_R2_fruit_2003"	"IL1-4"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-4_R3_fruit_2003"	"IL1-4"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-4_R4_fruit_2003"	"IL1-4"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-4-18_R1_fruit_2003"	"IL1-4-18"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-4-18_R2_fruit_2003"	"IL1-4-18"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-4-18_R3_fruit_2003"	"IL1-4-18"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL1-4-18_R4_fruit_2003"	"IL1-4-18"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-1_R1_fruit_2003"	"IL2-1"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-1_R2_fruit_2003"	"IL2-1"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-1_R3_fruit_2003"	"IL2-1"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-1_R4_fruit_2003"	"IL2-1"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-1-1_R1_fruit_2003"	"IL2-1-1"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-1-1_R2_fruit_2003"	"IL2-1-1"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-1-1_R3_fruit_2003"	"IL2-1-1"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-1-1_R4_fruit_2003"	"IL2-1-1"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-2_R1_fruit_2003"	"IL2-2"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-2_R2_fruit_2003"	"IL2-2"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-2_R3_fruit_2003"	"IL2-2"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-2_R4_fruit_2003"	"IL2-2"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-3_R1_fruit_2003"	"IL2-3"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-3_R2_fruit_2003"	"IL2-3"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-3_R3_fruit_2003"	"IL2-3"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-3_R4_fruit_2003"	"IL2-3"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-4_R1_fruit_2003"	"IL2-4"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-4_R2_fruit_2003"	"IL2-4"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-4_R3_fruit_2003"	"IL2-4"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-4_R4_fruit_2003"	"IL2-4"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-5_R1_fruit_2003"	"IL2-5"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-5_R2_fruit_2003"	"IL2-5"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-5_R3_fruit_2003"	"IL2-5"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-5_R4_fruit_2003"	"IL2-5"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-6_R1_fruit_2003"	"IL2-6"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-6_R2_fruit_2003"	"IL2-6"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-6_R3_fruit_2003"	"IL2-6"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-6_R4_fruit_2003"	"IL2-6"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-6-5_R1_fruit_2003"	"IL2-6-5"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-6-5_R2_fruit_2003"	"IL2-6-5"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-6-5_R3_fruit_2003"	"IL2-6-5"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL2-6-5_R4_fruit_2003"	"IL2-6-5"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL3-1_R1_fruit_2003"	"IL3-1"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL3-1_R2_fruit_2003"	"IL3-1"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL3-1_R3_fruit_2003"	"IL3-1"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL3-1_R4_fruit_2003"	"IL3-1"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL3-2_R1_fruit_2003"	"IL3-2"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL3-2_R2_fruit_2003"	"IL3-2"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL3-2_R3_fruit_2003"	"IL3-2"	""	""	"R3"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL3-2_R4_fruit_2003"	"IL3-2"	""	""	"R4"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL3-3_R1_fruit_2003"	"IL3-3"	""	""	"R1"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
"S.pennellii_ILs_2003"	"Solanum lycopersicum x Solanum pennellii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/872925"	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"IL3-3_R2_fruit_2003"	"IL3-3"	""	""	"R2"	""	""	"fruit_pericarp"	""	""	"2003"	"year"	""	""
