"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tissue]"	"Term Source REF"	"Term Accession Number"
"Mouse 07"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"Leg Skin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52749"	"Sample collection"	"Mouse 07 leg skin control skin"	"control skin"	""	""	"leg skin"	""	""
"Mouse 07"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"leg muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000722"	"Sample collection"	"Mouse 07 leg muscle control skin"	"control skin"	""	""	"leg muscle"	""	""
"Mouse 08"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 08 blood control skin"	"control skin"	""	""	"blood"	""	""
"Mouse 08"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"liver"	"BTO"	""	"Sample collection"	"Mouse 08 liver control skin"	"control skin"	""	""	"liver"	""	""
"Mouse 08"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 08 dorsal skin control skin"	"control skin"	""	""	"dorsal skin"	""	""
"Mouse 08"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"Leg Skin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52749"	"Sample collection"	"Mouse 08 leg skin control skin"	"control skin"	""	""	"leg skin"	""	""
"Mouse 08"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"leg muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000722"	"Sample collection"	"Mouse 08 leg muscle control skin"	"control skin"	""	""	"leg muscle"	""	""
"Mouse 09"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 09 blood control skin"	"control skin"	""	""	"blood"	""	""
"Mouse 09"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"liver"	"BTO"	""	"Sample collection"	"Mouse 09 liver control skin"	"control skin"	""	""	"liver"	""	""
"Mouse 09"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 09 dorsal skin control skin"	"control skin"	""	""	"dorsal skin"	""	""
"Mouse 09"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"Leg Skin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52749"	"Sample collection"	"Mouse 09 leg skin control skin"	"control skin"	""	""	"leg skin"	""	""
"Mouse 09"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"leg muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000722"	"Sample collection"	"Mouse 09 leg muscle control skin"	"control skin"	""	""	"leg muscle"	""	""
"Mouse 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 10 blood RESV skin"	"RESV skin"	""	""	"blood"	""	""
"Mouse 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"liver"	"BTO"	""	"Sample collection"	"Mouse 10 liver RESV skin"	"RESV skin"	""	""	"liver"	""	""
"Mouse 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 10 dorsal skin RESV skin"	"RESV skin"	""	""	"dorsal skin"	""	""
