"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Injection batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Extraction method]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Experiment]"	"Term Source REF"	"Term Accession Number"
"20160502_048"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_048"	"B1"	""	""	"methanol plus water"	""	""	"treated"	""	""
"20160502_049"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_049"	"B1"	""	""	"NA"	""	""	"QC"	""	""
"20160502_050"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_050"	"B1"	""	""	"methanol"	""	""	"control"	""	""
"20160502_051"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_051"	"B1"	""	""	"methanol plus water"	""	""	"control"	""	""
"20160502_052"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_052"	"B1"	""	""	"methanol"	""	""	"treated"	""	""
"20160502_054"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_054"	"B1"	""	""	"NA"	""	""	"QC"	""	""
"20160504_009"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160504_009"	"B2"	""	""	"NA"	""	""	"QC"	""	""
"20160504_010"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160504_010"	"B2"	""	""	"NA"	""	""	"QC"	""	""
"20160504_011"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160504_011"	"B2"	""	""	"NA"	""	""	"QC"	""	""
"20160504_012"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160504_012"	"B2"	""	""	"methanol plus water"	""	""	"control"	""	""
