"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample location]"	"Term Source REF"	"Term Accession Number"
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_038"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_040"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_041"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_042"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_043"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_044"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_006"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_008"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_009"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_010"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_011"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_012"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_013"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_016"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_017"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_018"	"Leaf tissue"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_110513_PAs_020"	"Leaf tissue"	""	""
