"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[CM source]"	"Term Source REF"	"Term Accession Number"
"19-9-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"19-9-7-CM3m_2"	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"19-9-7"	""	""
"19-9-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"19-9-7-CM3m_3"	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"19-9-7"	""	""
"ESO3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"ESO3_CM3m_1"	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ESO3"	""	""
"ESO3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"ESO3_CM3m_2"	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ESO3"	""	""
"ESO3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"ESO3_CM3m_3"	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ESO3"	""	""
"H9"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"H9-CM1m-1"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"H9"	""	""
"H9"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"H9-CM1m-2"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"H9"	""	""
"H9"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"H9-CM1m-3"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"H9"	""	""
"H9"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"H9-CM3m-1"	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"H9"	""	""
"H9"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"H9-CM3m-2"	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"H9"	""	""
"H9"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"H9-CM3m-3"	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"H9"	""	""
"19-9-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"19-9-7-CMD6_1"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"19-9-7"	""	""
"19-9-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"19-9-7-CMD6_2"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"19-9-7"	""	""
"19-9-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"19-9-7-CMD6_3"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"19-9-7"	""	""
"H9"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"H9-CMD6-1"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"H9"	""	""
"H9"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"H9-CMD6-2"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"H9"	""	""
"H9"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"pluripotent stem cell-derived cardiomyocyte"	""	""	"Sample collection"	"H9-CMD6-3"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"H9"	""	""
