"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[CarbonDioxide_Quantity_after_initiation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[CarbonDioxide_Quantity_after_01d]"	"Unit"	"Term Source REF"	"Term Accession Number"
"rg9"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.WT.none"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_26"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg9"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.WT.none"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_44"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg9"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.WT.none"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_62"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg9"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.WT.none"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_8"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg8"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0404.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_17"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg8"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0404.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_35"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg8"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0404.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_53"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg8"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0404.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_71"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg7"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0171.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_11"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg7"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0171.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_29"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg7"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0171.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_47"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"rg7"	"Synechocystis sp. PCC 6803"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1148"	"Synechocystis sp. PCC 6803.sll0171.ko"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6089if_65"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0.038"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
