"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Drug]"	"Term Source REF"	"Term Accession Number"
"SBP-1-PC"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PC-SBP-1-2"	"SBP-1"	""	""	"NO DRUG"	""	""
"SBP-1-PC"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PC-SBP-1-3"	"SBP-1"	""	""	"NO DRUG"	""	""
"SBP-1-PC"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PC-SBP-1-RPA-1"	"SBP-1"	""	""	"RPA"	""	""
"SBP-1-PC"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PC-SBP-1-RPA-2"	"SBP-1"	""	""	"RPA"	""	""
"SBP-1-PC"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PC-SBP-1-RPA-3"	"SBP-1"	""	""	"RPA"	""	""
"SBP-1-PC"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PC-SBP-1-RRA-1"	"SBP-1"	""	""	"RRA"	""	""
"SBP-1-PC"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PC-SBP-1-RRA-2"	"SBP-1"	""	""	"RRA"	""	""
"SBP-1-PC"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PC-SBP-1-RRA-3"	"SBP-1"	""	""	"RRA"	""	""
"EAT-2-PC"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PC-EAT-2-1"	"EAT-2"	""	""	"NO DRUG"	""	""
"EAT-2-PC"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PC-EAT-2-2"	"EAT-2"	""	""	"NO DRUG"	""	""
"EAT-2-PC"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PC-EAT-2-3"	"EAT-2"	""	""	"NO DRUG"	""	""
"EAT-2-PC"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PC-EAT-2-RPA-1"	"EAT-2"	""	""	"RPA"	""	""
"EAT-2-PC"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PC-EAT-2-RPA-2"	"EAT-2"	""	""	"RPA"	""	""
"EAT-2-PC"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PC-EAT-2-RPA-3"	"EAT-2"	""	""	"RPA"	""	""
"DAF-7-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-DAF-7-1"	"DAF-7"	""	""	"NO DRUG"	""	""
"DAF-7-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-DAF-7-2"	"DAF-7"	""	""	"NO DRUG"	""	""
"DAF-7-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-DAF-7-3"	"DAF-7"	""	""	"NO DRUG"	""	""
"DAF-7-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-DAF-7-RPA-1"	"DAF-7"	""	""	"RPA"	""	""
"DAF-7-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-DAF-7-RPA-2"	"DAF-7"	""	""	"RPA"	""	""
"DAF-7-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-DAF-7-RPA-3"	"DAF-7"	""	""	"RPA"	""	""
"DAF-7-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-DAF-7-RRA-1"	"DAF-7"	""	""	"RRA"	""	""
"DAF-7-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-DAF-7-RRA-2"	"DAF-7"	""	""	"RRA"	""	""
"DAF-7-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-DAF-7-RRA-3"	"DAF-7"	""	""	"RRA"	""	""
"SBP-1-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-SBP-1-1"	"SBP-1"	""	""	"NO DRUG"	""	""
"SBP-1-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-SBP-1-2"	"SBP-1"	""	""	"NO DRUG"	""	""
"SBP-1-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-SBP-1-3"	"SBP-1"	""	""	"NO DRUG"	""	""
"SBP-1-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-SBP-1-RPA-1"	"SBP-1"	""	""	"RPA"	""	""
"SBP-1-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-SBP-1-RPA-2"	"SBP-1"	""	""	"RPA"	""	""
"SBP-1-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-SBP-1-RPA-3"	"SBP-1"	""	""	"RPA"	""	""
"SBP-1-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-SBP-1-RRA-1"	"SBP-1"	""	""	"RRA"	""	""
"SBP-1-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-SBP-1-RRA-2"	"SBP-1"	""	""	"RRA"	""	""
"SBP-1-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-SBP-1-RRA-3"	"SBP-1"	""	""	"RRA"	""	""
"EAT-2-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-EAT-2-1"	"EAT-2"	""	""	"NO DRUG"	""	""
"EAT-2-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-EAT-2-2"	"EAT-2"	""	""	"NO DRUG"	""	""
"EAT-2-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-EAT-2-3"	"EAT-2"	""	""	"NO DRUG"	""	""
"EAT-2-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-EAT-2-RPA-1"	"EAT-2"	""	""	"RPA"	""	""
"EAT-2-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-EAT-2-RPA-2"	"EAT-2"	""	""	"RPA"	""	""
"EAT-2-PE"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"PE-EAT-2-RPA-3"	"EAT-2"	""	""	"RPA"	""	""
"EAT-2-TAG-1"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-1-EAT-2-1"	"EAT-2"	""	""	"NO DRUG"	""	""
"EAT-2-TAG-1"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-1-EAT-2-2"	"EAT-2"	""	""	"NO DRUG"	""	""
"EAT-2-TAG-1"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-1-EAT-2-3"	"EAT-2"	""	""	"NO DRUG"	""	""
"EAT-2-TAG-1"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-1-EAT-2-RPA-1"	"EAT-2"	""	""	"RPA"	""	""
"EAT-2-TAG-1"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-1-EAT-2-RPA-2"	"EAT-2"	""	""	"RPA"	""	""
"EAT-2-TAG-1"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-1-EAT-2-RPA-3"	"EAT-2"	""	""	"RPA"	""	""
"EAT-2-TAG-2"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-2-EAT-2-1"	"EAT-2"	""	""	"NO DRUG"	""	""
"EAT-2-TAG-2"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-2-EAT-2-2"	"EAT-2"	""	""	"NO DRUG"	""	""
"EAT-2-TAG-2"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-2-EAT-2-3"	"EAT-2"	""	""	"NO DRUG"	""	""
"EAT-2-TAG-2"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-2-EAT-2-RPA-1"	"EAT-2"	""	""	"RPA"	""	""
"EAT-2-TAG-2"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-2-EAT-2-RPA-2"	"EAT-2"	""	""	"RPA"	""	""
"EAT-2-TAG-2"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-2-EAT-2-RPA-3"	"EAT-2"	""	""	"RPA"	""	""
"EAT-2-TAG-3"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-3-EAT-2-1"	"EAT-2"	""	""	"NO DRUG"	""	""
"EAT-2-TAG-3"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-3-EAT-2-2"	"EAT-2"	""	""	"NO DRUG"	""	""
"EAT-2-TAG-3"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-3-EAT-2-3"	"EAT-2"	""	""	"NO DRUG"	""	""
"EAT-2-TAG-3"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-3-EAT-2-RPA-1"	"EAT-2"	""	""	"RPA"	""	""
"EAT-2-TAG-3"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-3-EAT-2-RPA-2"	"EAT-2"	""	""	"RPA"	""	""
"EAT-2-TAG-3"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-3-EAT-2-RPA-3"	"EAT-2"	""	""	"RPA"	""	""
"N2-TAG-1"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-1-N2-1"	"N2"	""	""	"NO DRUG"	""	""
"N2-TAG-1"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-1-N2-2"	"N2"	""	""	"NO DRUG"	""	""
"N2-TAG-1"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-1-N2-3"	"N2"	""	""	"NO DRUG"	""	""
"N2-TAG-1"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-1-N2-RPA-1"	"N2"	""	""	"RPA"	""	""
"N2-TAG-1"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-1-N2-RPA-2"	"N2"	""	""	"RPA"	""	""
"N2-TAG-1"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-1-N2-RPA-3"	"N2"	""	""	"RPA"	""	""
"N2-TAG-1"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-1-N2-RRA-1"	"N2"	""	""	"RRA"	""	""
"N2-TAG-1"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-1-N2-RRA-2"	"N2"	""	""	"RRA"	""	""
"N2-TAG-1"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-1-N2-RRA-3"	"N2"	""	""	"RRA"	""	""
"N2-TAG-2"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-2-N2-1"	"N2"	""	""	"NO DRUG"	""	""
"N2-TAG-2"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-2-N2-2"	"N2"	""	""	"NO DRUG"	""	""
"N2-TAG-2"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-2-N2-3"	"N2"	""	""	"NO DRUG"	""	""
"N2-TAG-2"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-2-N2-RPA-1"	"N2"	""	""	"RPA"	""	""
"N2-TAG-2"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-2-N2-RPA-2"	"N2"	""	""	"RPA"	""	""
"N2-TAG-2"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-2-N2-RPA-3"	"N2"	""	""	"RPA"	""	""
"N2-TAG-2"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-2-N2-RRA-1"	"N2"	""	""	"RRA"	""	""
"N2-TAG-2"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-2-N2-RRA-2"	"N2"	""	""	"RRA"	""	""
"N2-TAG-2"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-2-N2-RRA-3"	"N2"	""	""	"RRA"	""	""
"N2-TAG-3"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-3-N2-1"	"N2"	""	""	"NO DRUG"	""	""
"N2-TAG-3"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-3-N2-2"	"N2"	""	""	"NO DRUG"	""	""
"N2-TAG-3"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-3-N2-3"	"N2"	""	""	"NO DRUG"	""	""
"N2-TAG-3"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-3-N2-RPA-1"	"N2"	""	""	"RPA"	""	""
"N2-TAG-3"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-3-N2-RPA-2"	"N2"	""	""	"RPA"	""	""
"N2-TAG-3"	"Caenorhabditis elegans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6239"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"TAG-3-N2-RPA-3"	"N2"	""	""	"RPA"	""	""
