"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[treatment days]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[CO2 concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Calanus15"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_08C_Ctrl_03"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus16"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_QC03"	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus17"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_Ctrl_04"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus18"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_Ctrl_04"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus19"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_10C_Ctrl_04"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus20"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_CO2_04"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus21"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_CO2_04"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus22"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_08C_Ctrl_04"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus23"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_Ctrl_08"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus24"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_Ctrl_08"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus25"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_10C_Ctrl_08"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus26"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_CO2_08"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus27"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_CO2_08"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus28"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_08C_Ctrl_08"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus29"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_QC04"	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus30"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_Ctrl_01"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus31"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_Ctrl_01"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus32"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_10C_Ctrl_01"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus33"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_CO2_01"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus34"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_CO2_01"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus35"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_08C_Ctrl_01"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus36"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_Ctrl_07"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus37"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_Ctrl_07"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus38"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_10C_Ctrl_07"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus39"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_CO2_07"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus40"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_CO2_07"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus41"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_08C_Ctrl_07"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus42"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_QC05"	"NA"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"NA"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"NA"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus43"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_Ctrl_02"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus44"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_Ctrl_02"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus45"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t0_10C_Ctrl_02"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"380"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus46"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_08C_CO2_02"	"8"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
"Calanus47"	"Calanus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6836"	"Calanus helgolandicus/NCBITAXON:Calanus finmarchicus"	"NCBITAXON"	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"P_t5_10C_CO2_02"	"10"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1000"	"parts per million"	"UO"	"http://purl.obolibrary.org/obo/UO_0000169"
