"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time point]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Nano material]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.6h.R1"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.6h.R1"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.06"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.12h.R1"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.12h.R1"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.12h.R1"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.12h.R1"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Pool.05"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Pool"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.07"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.24h.R1"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.24h.R1"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.24h.R1"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.24h.R1"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.08"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.48h.R1"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.48h.R1"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.48h.R1"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.48h.R1"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 1"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Pool.06"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Pool"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.09"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.0h.R2"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.0h.R2"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.0h.R2"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.0h.R2"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.10"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.3h.R2"	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.3h.R2"	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.3h.R2"	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.3h.R2"	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Pool.07"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Pool"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.11"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.6h.R2"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.6h.R2"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.6h.R2"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.6h.R2"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.12"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.12h.R2"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.12h.R2"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.12h.R2"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.12h.R2"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Pool.08"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Pool"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.13"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.24h.R2"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.24h.R2"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.24h.R2"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.24h.R2"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.14"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.48h.R2"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.48h.R2"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.48h.R2"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.48h.R2"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 2"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Pool.09"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Pool"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.15"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.0h.R3"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.0h.R3"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM300k.0h.R3"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM300k"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM401.0h.R3"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM401"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Blank.16"	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Blank"	""	""	"NA"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"Control.3h.R3"	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"Replicate 3"	""	""
"A549"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"NM104.3h.R3"	"3"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NM104"	""	""	"Replicate 3"	""	""
