"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f1_H1717"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f20_H1950"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f21_H1955"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f22_H1956"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f23_H1957"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f24_H1961"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f25_H1962"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f26_H1980"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f27_H1981"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f28_H2002"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f29_H2016"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f2_H1784"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f30_H2017"
"EXODIAB"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"subcutaneous adipose tissue"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0002190"	"Sample collection"	"fat_CW-f31_H2027"
