"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[brown planthopper treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time course]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7C4-2"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7C4-3"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7C8-1"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7C8-2"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7C8-3"	"NO"	""	""	"UBN3078-101-342-4-7"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7T1-1"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7T1-2"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7T1-3"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7T2-1"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"Plant materials"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa L. ssp. indica cv. IL7"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"L-IL7T2-2"	"YES"	""	""	"UBN3078-101-342-4-7"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
