"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[aging]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"32W-7"	"7"	""	""	"32"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"32W-8"	"8"	""	""	"32"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"52W-1"	"1"	""	""	"52"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"52W-2"	"2"	""	""	"52"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"52W-3"	"3"	""	""	"52"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"52W-4"	"4"	""	""	"52"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"52W-5"	"5"	""	""	"52"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"52W-6"	"6"	""	""	"52"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"52W-7"	"7"	""	""	"52"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Aging Bra Exp-pos"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"52W-8"	"8"	""	""	"52"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
