"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time after Inoculation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"KR51-6a_24hDex-24hH2O_1-B,5_01_7358"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-KR51-6a_24hDex-24hH2O_1-B,5_01_7358"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6a_6hDex-24hH2O_1-B,1_01_7354"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-KR51-6a_6hDex-24hH2O_1-B,1_01_7354"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_24hDex-24hH2O_1-B,7_01_7360"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-KR51-6b_24hDex-24hH2O_1-B,7_01_7360"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_6hDex-24hH2O_1-B,3_01_7356"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"Exudate"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13233"	"Sample collection"	"E546-KR51-6b_6hDex-24hH2O_1-B,3_01_7356"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"DD55-4a_24hDex-24hH2O_2-B,5_01_7417"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E546_DD55-4a_24hDex-24hH2O_2-B,5_01_7417"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4a_6hDex-24hH2O_2-B,2_01_7413"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E546_DD55-4a_6hDex-24hH2O_2-B,2_01_7413"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_24hDex-24hH2O_2-B,7_01_7419"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E546_DD55-4b_24hDex-24hH2O_2-B,7_01_7419"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"DD55-4b_6hDex-24hH2O_2-B,3_01_7415"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E546_DD55-4b_6hDex-24hH2O_2-B,3_01_7415"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
"KR51-6a_24hDex-24hH2O_2-B,4_01_7416"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E546_KR51-6a_24hDex-24hH2O_2-B,4_01_7416"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6a_6hDex-24hH2O_2-B,1_01_7412"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E546_KR51-6a_6hDex-24hH2O_2-B,1_01_7412"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6a_6hDex-24hH2O_2-B,1_01_7414"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E546_KR51-6a_6hDex-24hH2O_2-B,1_01_7414"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"KR51-6b_24hDex-24hH2O_2-B,6_01_7418"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E546_KR51-6b_24hDex-24hH2O_2-B,6_01_7418"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"KR"	""	""
"DD55-4a_24hDex-24hH2O_1-A,8_01_10180"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"E550-DD55-4a_24hDex-24hH2O_1-A,8_01_10180"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DD"	""	""
