"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Photoperiod]"	"Term Source REF"	"Term Accession Number"
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD03_Pos"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD04_Pos"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD05_Pos"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD06_Pos"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD07_Pos"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD08_Pos"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD09_Pos"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD10_Pos"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD01_Neg"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD02_Neg"	"Short day"	""	""
