"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Vaccination]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7543_T6_R2_Non-Vaccinated_120210_Darren_038"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R2"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7586_T6_R3_Vaccinated_120210_Darren_046"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R3"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7541_T6_R3_Vaccinated_120210_Darren_047"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R3"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7589_T6_R3_Non-Vaccinated_120210_Darren_049"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R3"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7594_T6_R3_Vaccinated_120210_Darren_052"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R3"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7543_T6_R3_Non-Vaccinated_120210_Darren_054"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R3"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7574_T6_R3_Non-Vaccinated_120210_Darren_056"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R3"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7594_T6_R4_Vaccinated_120210_Darren_061"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R4"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7541_T6_R4_Vaccinated_120210_Darren_064"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R4"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7543_T6_R4_Non-Vaccinated_120210_Darren_068"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R4"	""	""	"Non-Vaccinated"	""	""
