"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[tissue type]"	"Term Source REF"	"Term Accession Number"
"CC_WB_BAT_39"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_39"	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_40"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_40"	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_41"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_41"	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_42"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_42"	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_43"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_43"	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_44"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_44"	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_45"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_45"	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_48"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_48"	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_49"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_49"	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
"CC_WB_BAT_50"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"CC_WB_BAT_50"	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"brown adipose tissue"	""	""
