"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[rice seed developmental stage]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[different cultivar]"	"Term Source REF"	"Term Accession Number"
"S060"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. 9311"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"9311-42-G-4"	"42"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"9311"	""	""
"S061"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-7-G-1"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S062"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-7-G-2"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S063"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-7-G-3"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S064"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-7-G-4"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S065"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-10-G-1"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S066"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-10-G-2"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S067"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-10-G-3"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S068"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-10-G-4"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S069"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-14-G-1"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
"S070"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Nongken 58"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"N-14-G-2"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Nongken 58"	""	""
