"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Species]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"CID_MSMS_Validation_6"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_Validation_6"
"CID_MSMS_Validation_7"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_Validation_7"
"CID_MSMS_Validation_8"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_Validation_8"
"CID_MSMS_Validation_9"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_Validation_9"
"CID_MSMS_Validation_10"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_Validation_10"
"CID_MSMS_Validation_11"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_Validation_11"
"CID_MSMS_409"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_409"
"CID_MSMS_826"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_826"
"CID_MSMS_748"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_748"
"CID_MSMS_776"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_776"
"CID_MSMS_782"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_782"
"CID_MSMS_792"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_792"
"CID_MSMS_810"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_810"
"CID_MSMS_PC_Lipids"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample Collection"	"CID_MSMS_PC_Lipids"
