"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Aza treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Hxa treatment ]"	"Term Source REF"	"Term Accession Number"
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_6hrC_1a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_6hrC_2a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_6hrC_3a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_12hrA_1a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_12hrA_2a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_12hrA_3a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_12hrB_1a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_12hrB_2a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_12hrB_3a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_12hrC_1a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_12hrC_2a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_12hrC_3a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_24hrA_1a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_24hrA_2a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_24hrA_3a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_24hrB_1a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_24hrB_2a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_24hrB_3a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_24hrC_1a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_24hrC_2a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Hx_24hrC_3a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_0hrA_1a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_0hrA_2a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_0hrA_3a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_0hrB_1a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_0hrB_2a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_0hrB_3a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_0hrC_1a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_0hrC_2a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_0hrC_3a"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"non-treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_6hrA_1a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_6hrA_2a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_6hrA_3a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_6hrB_1a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_6hrB_2a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_6hrB_3a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_6hrC_1a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_6hrC_2a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_6hrC_3a"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_12hrA_1a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_12hrA_2a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_12hrA_3a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_12hrB_1a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_12hrB_2a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_12hrB_3a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_12hrC_1a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_12hrC_2a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
"Intracellular"	"Nicotiana tabacum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4097"	"Nicotiana tabacum cv. Samsun"	""	""	"cell suspension culture"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000221"	"Sample collection"	"Tobacco_Az_12hrC_3a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"treated"	""	""	"non-treated"	""	""
