"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Origin]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time]"	"Term Source REF"	"Term Accession Number"
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_245b1_r001"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_245b1_r002"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_245b2_r001"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_245b2_r002"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_245b3_r001"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_245b3_r002"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_252b1_r001"	"Batch 3"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_252b1_r002"	"Batch 3"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_252b2_r001"	"Batch 3"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_252b2_r002"	"Batch 3"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_252b3_r001"	"Batch 3"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_252b3_r002"	"Batch 3"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_253b1_r001"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_253b1_r002"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_253b2_r001"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_253b2_r002"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_253b3_r001"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_253b3_r002"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_254b1_r001"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_254b1_r002"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_254b2_r001"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_254b2_r002"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_254b3_r001"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_254b3_r002"	"Batch 1"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_255b1_r001"	"Batch 2"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_255b1_r002"	"Batch 2"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_255b2_r001"	"Batch 2"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_255b2_r002"	"Batch 2"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_255b3_r001"	"Batch 2"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_255b3_r002"	"Batch 2"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_258b1_r001"	"Batch 3"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_258b1_r002"	"Batch 3"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_258b2_r001"	"Batch 3"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_258b2_r002"	"Batch 3"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_258b3_r001"	"Batch 3"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Parachlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/247501"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_258b3_r002"	"Batch 3"	""	""	"Sea Bass Pond at Sepang, Selangor"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_268b1_r001"	"Batch 2"	""	""	"Raw palm oil effluent pond, Labu Palm Oil Mill, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_268b1_r002"	"Batch 2"	""	""	"Raw palm oil effluent pond, Labu Palm Oil Mill, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_268b2_r001"	"Batch 2"	""	""	"Raw palm oil effluent pond, Labu Palm Oil Mill, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_268b2_r002"	"Batch 2"	""	""	"Raw palm oil effluent pond, Labu Palm Oil Mill, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_268b3_r001"	"Batch 2"	""	""	"Raw palm oil effluent pond, Labu Palm Oil Mill, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_268b3_r002"	"Batch 2"	""	""	"Raw palm oil effluent pond, Labu Palm Oil Mill, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_283b1_r001"	"Batch 2"	""	""	"Anaerobic pond 3, Labu Palm Oil Mill, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_283b1_r002"	"Batch 2"	""	""	"Anaerobic pond 3, Labu Palm Oil Mill, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_283b2_r001"	"Batch 2"	""	""	"Anaerobic pond 3, Labu Palm Oil Mill, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_283b2_r002"	"Batch 2"	""	""	"Anaerobic pond 3, Labu Palm Oil Mill, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_283b3_r001"	"Batch 2"	""	""	"Anaerobic pond 3, Labu Palm Oil Mill, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_283b3_r002"	"Batch 2"	""	""	"Anaerobic pond 3, Labu Palm Oil Mill, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_322b1_r001"	"Batch 3"	""	""	"Wastewater treatment pond at oil refinery, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_322b1_r002"	"Batch 3"	""	""	"Wastewater treatment pond at oil refinery, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_322b2_r001"	"Batch 3"	""	""	"Wastewater treatment pond at oil refinery, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_322b2_r002"	"Batch 3"	""	""	"Wastewater treatment pond at oil refinery, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_325b1_r001"	"Batch 2"	""	""	"Wastewater treatment pond at oil refinery, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_325b1_r002"	"Batch 2"	""	""	"Wastewater treatment pond at oil refinery, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_325b2_r001"	"Batch 2"	""	""	"Wastewater treatment pond at oil refinery, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_325b2_r002"	"Batch 2"	""	""	"Wastewater treatment pond at oil refinery, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_325b3_r001"	"Batch 2"	""	""	"Wastewater treatment pond at oil refinery, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_325b3_r002"	"Batch 2"	""	""	"Wastewater treatment pond at oil refinery, Negeri Sembilan"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_001_b1_r001"	"Batch 4"	""	""	"Pond at IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_001_b1_r002"	"Batch 4"	""	""	"Pond at IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_001_b2_r001"	"Batch 4"	""	""	"Pond at IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_001_b2_r002"	"Batch 4"	""	""	"Pond at IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_001_b3_r001"	"Batch 4"	""	""	"Pond at IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_001_b3_r002"	"Batch 4"	""	""	"Pond at IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_006_b1_r001"	"Batch 4"	""	""	"Fish tank containing chicken manure, IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_006_b1_r002"	"Batch 4"	""	""	"Fish tank containing chicken manure, IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_006_b2_r001"	"Batch 4"	""	""	"Fish tank containing chicken manure, IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_006_b2_r002"	"Batch 4"	""	""	"Fish tank containing chicken manure, IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_006_b3_r001"	"Batch 4"	""	""	"Fish tank containing chicken manure, IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_006_b3_r002"	"Batch 4"	""	""	"Fish tank containing chicken manure, IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_014b1_r001"	"Batch 2"	""	""	"IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_014b1_r002"	"Batch 2"	""	""	"IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_014b2_r001"	"Batch 2"	""	""	"IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_014b2_r002"	"Batch 2"	""	""	"IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_014b3_r001"	"Batch 2"	""	""	"IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_014b3_r002"	"Batch 2"	""	""	"IPSP Farm, University of Malaya"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_051_b1_r001"	"Batch 4"	""	""	"Aerobic pond for POME treatment, Tenamaran Palm Oil Mill, Selangor"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_051_b1_r002"	"Batch 4"	""	""	"Aerobic pond for POME treatment, Tenamaran Palm Oil Mill, Selangor"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_051_b2_r001"	"Batch 4"	""	""	"Aerobic pond for POME treatment, Tenamaran Palm Oil Mill, Selangor"	""	""	"exponential phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D4_051_b2_r002"	"Batch 4"	""	""	"Aerobic pond for POME treatment, Tenamaran Palm Oil Mill, Selangor"	""	""	"exponential phase culture"	""	""
