"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Origin]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time]"	"Term Source REF"	"Term Accession Number"
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_184b2_r001"	"Batch 3"	""	""	"NA"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_184b2_r002"	"Batch 3"	""	""	"NA"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_184b3_r001"	"Batch 3"	""	""	"NA"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_184b3_r002"	"Batch 3"	""	""	"NA"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_187b1_r001"	"Batch 1"	""	""	"Tin, Chinese graveyard, Kuantan Pahang"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_187b1_r002"	"Batch 1"	""	""	"Tin, Chinese graveyard, Kuantan Pahang"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_187b2_r001"	"Batch 1"	""	""	"Tin, Chinese graveyard, Kuantan Pahang"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_187b2_r002"	"Batch 1"	""	""	"Tin, Chinese graveyard, Kuantan Pahang"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_187b3_r001"	"Batch 1"	""	""	"Tin, Chinese graveyard, Kuantan Pahang"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_187b3_r002"	"Batch 1"	""	""	"Tin, Chinese graveyard, Kuantan Pahang"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_207b1_r001"	"Batch 2"	""	""	"Concrete tank, shop houses, Kedah"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_207b1_r002"	"Batch 2"	""	""	"Concrete tank, shop houses, Kedah"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_207b2_r001"	"Batch 2"	""	""	"Concrete tank, shop houses, Kedah"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_207b2_r002"	"Batch 2"	""	""	"Concrete tank, shop houses, Kedah"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_207b3_r001"	"Batch 2"	""	""	"Concrete tank, shop houses, Kedah"	""	""	"stationary phase culture"	""	""
"Cell culture"	"Chlorella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/114055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D12_207b3_r002"	"Batch 2"	""	""	"Concrete tank, shop houses, Kedah"	""	""	"stationary phase culture"	""	""
