"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Panda mother]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Mother age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"
"13"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL13"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"13"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"14"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL14"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"15"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL15"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"16"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL16"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"16"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"18"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL18"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"18"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"19"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"LL19"	"Li Li"	""	""	"20"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"19"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"2"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT2"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"10"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT10"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"11"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT11"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"12"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT12"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"12"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"13"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT13"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"13"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"16"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT16"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"16"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"20"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT20"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"30"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT30"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"31"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT31"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"31"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"34"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT34"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"34"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"35"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT35"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"35"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"36"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT36"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"36"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"37"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT37"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"38"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT38"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"38"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"47"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT47"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"48"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT48"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"56"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"XYT56"	"Xiao Ya Tou"	""	""	"6"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"56"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"1"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY1"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"2"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY2"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"3"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY3"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"4"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY4"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"4"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"7"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY7"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"10"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY10"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"11"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY11"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"14"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY14"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"15"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY15"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"16"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY16"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"16"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"19"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY19-1"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"19"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"20"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY19-2"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"19"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"21"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY19-3"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"19"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"22"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY22"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"22"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"23"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY23"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"23"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"25"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY25"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"25"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"26"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY26"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"26"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"27"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY27"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"29"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY29"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"29"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"30"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY30"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"31"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY31"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"31"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"37"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY37"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"46"	"Ailuropoda melanoleuca"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9646"	"milk"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000868"	"Sample collection"	"YY46"	"Yuan Yuan"	""	""	"9"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"46"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
