"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"D303679"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S128982"	"51.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D315765"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S134691"	"3.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D303648"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S128951"	"20.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D303664"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S128967"	"36.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D303680"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S128983"	"52.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D315766"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S134692"	"4.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D315787"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S134719"	"52_1.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D303649"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S128952"	"21.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D303665"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S128968"	"37.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D315767"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S134693"	"5.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D315788"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S134720"	"53_1.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
