"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[life stage]"	"Term Source REF"	"Term Accession Number"
"Aquatica lateralis larval extract"	"Aquatica lateralis"	"NCBITAXON"	""	"Aquatica lateralis str. Ikeya-Y90"	""	""	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"Alat_LarvaeWB_4"	"unknown"	""	""	"larva"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000707"
"Aquatica lateralis adult male hemolymph"	"Aquatica lateralis"	"NCBITAXON"	""	"Aquatica lateralis str. Ikeya-Y90"	""	""	"hemolymph"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000572"	"Sample collection"	"Alat_hemolymph_1"	"Male"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20197"	"adult"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001043"
"Aquatica lateralis adult male hemolymph"	"Aquatica lateralis"	"NCBITAXON"	""	"Aquatica lateralis str. Ikeya-Y90"	""	""	"hemolymph"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000572"	"Sample collection"	"Alat_hemolymph_2"	"Male"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20197"	"adult"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001043"
"Aquatica lateralis adult male extract"	"Aquatica lateralis"	"NCBITAXON"	""	"Aquatica lateralis str. Ikeya-Y90"	""	""	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"Alat_MaleWB_1"	"Male"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20197"	"adult"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001043"
"Aquatica lateralis adult male extract"	"Aquatica lateralis"	"NCBITAXON"	""	"Aquatica lateralis str. Ikeya-Y90"	""	""	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"Alat_MaleWB_2"	"Male"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20197"	"adult"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001043"
"Aquatica lateralis adult male extract"	"Aquatica lateralis"	"NCBITAXON"	""	"Aquatica lateralis str. Ikeya-Y90"	""	""	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"Alat_MaleWB_3"	"Male"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20197"	"adult"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001043"
"Aquatica lateralis adult male extract"	"Aquatica lateralis"	"NCBITAXON"	""	"Aquatica lateralis str. Ikeya-Y90"	""	""	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"Alat_MaleWB_4"	"Male"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20197"	"adult"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001043"
"Aquatica lateralis adult female extract"	"Aquatica lateralis"	"NCBITAXON"	""	"Aquatica lateralis str. Ikeya-Y90"	""	""	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"Alat_FemaleWB_1"	"Female"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16576"	"adult"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001043"
"Aquatica lateralis adult female extract"	"Aquatica lateralis"	"NCBITAXON"	""	"Aquatica lateralis str. Ikeya-Y90"	""	""	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"Alat_FemaleWB_2"	"Female"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16576"	"adult"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001043"
"Aquatica lateralis adult female extract"	"Aquatica lateralis"	"NCBITAXON"	""	"Aquatica lateralis str. Ikeya-Y90"	""	""	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"Alat_FemaleWB_3"	"Female"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16576"	"adult"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001043"
"Aquatica lateralis adult female extract"	"Aquatica lateralis"	"NCBITAXON"	""	"Aquatica lateralis str. Ikeya-Y90"	""	""	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"Alat_FemaleWB_4"	"Female"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16576"	"adult"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001043"
