"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtCc"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S63"	"∆egtCc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtDc"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S64"	"∆egtDc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshAc"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S65"	"∆mshAc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S66"	"Stastionnary CDC1551 M.tuberculosis wild_type"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. H37Rv"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S67"	"Stastionnary H37Rv M.tuberculosis wild_type"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium bovis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1765"	"Mycobacterium bovis str. BCG"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S68"	"Stationnary M.bovis BCG wild_type"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshA"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S69"	"Stastionnary ∆mshA CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"extracellular"	"EFO"	""	"Sample collection"	"S70"	"CDC1551 M. tuberculosis wild_type "	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium bovis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1765"	"Mycobacterium bovis str. BCG"	""	""	"extratracellular"	"EFO"	""	"Sample collection"	"S71"	"M. bovis BCG wild_type"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. H37Rv"	""	""	"extratracellular"	"EFO"	""	"Sample collection"	"S72"	"H37Rv M.tuberculosis wild_type"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtA"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S73"	"∆egtA CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtB"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S74"	"∆egtB CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. H37Rv ∆egtB"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S75"	"∆egtB H37Rv M. tuberculosis"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtC"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S76"	"∆egtC CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtD"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S77"	"∆egtD CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtE"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S78"	"∆egtE CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. H37Rv ∆egtE"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S79"	"∆egtE H37Rv M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshA"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S80"	"∆mshA CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtA+"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S81"	"∆egtA+ CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtB+"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S82"	"∆egtB+ CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtD+"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S83"	"∆egtD+ CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtAc"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S84"	"∆egtAc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtBc"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S85"	"∆egtBc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtCc"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S86"	"∆egtCc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtDc"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S87"	"∆egtDc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshAc"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S88"	"∆mshAc CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S89"	"Stastionnary CDC1551 M.tuberculosis wild_type"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. H37Rv"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S90"	"Stastionnary H37Rv M.tuberculosis wild_type"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium bovis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1765"	"Mycobacterium bovis str. BCG"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S91"	"Stationnary M.bovis BCG wild_type"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-2-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshA"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S92"	"Stastionnary ∆mshA CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"2"	""	""	""	""	""
"Replicate-1-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtA"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S93"	"∆egtA CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"1"	""	""	""	""	""
"Replicate-2-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtA"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S94"	"∆egtA CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"2"	""	""	""	""	""
"Replicate-1-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtB"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S95"	"∆egtB CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"1"	""	""	""	""	""
"Replicate-2-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtB"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S96"	"∆egtB CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"2"	""	""	""	""	""
"Replicate-1-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtD"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S97"	"∆egtD CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"1"	""	""	""	""	""
"Replicate-2-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtD"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S98"	"∆egtD CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"2"	""	""	""	""	""
"Replicate-1-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshA"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S99"	"∆mshA CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"1"	""	""	""	""	""
"Replicate-2-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshA"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S100"	"∆mshA CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"2"	""	""	""	""	""
"Replicate-1-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S101"	"CDC1551 M. tuberculosis wild type"	""	""	"2"	""	""	"1"	""	""	""	""	""
"Replicate-2-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S102"	"CDC1551 M. tuberculosiswild type"	""	""	"2"	""	""	"2"	""	""	""	""	""
"Replicate-1-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtA"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S103"	"∆egtA CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"1"	""	""	""	""	""
"Replicate-2-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtA"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S104"	"∆egtA CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"2"	""	""	""	""	""
"Replicate-1-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtB"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S105"	"∆egtB CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"1"	""	""	""	""	""
"Replicate-2-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtB"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S106"	"∆egtB CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"2"	""	""	""	""	""
"Replicate-1-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtD"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S107"	"∆egtD CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"1"	""	""	""	""	""
"Replicate-2-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtD"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S108"	"∆egtD CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"2"	""	""	""	""	""
"Replicate-1-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshA"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S109"	"∆mshA CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"1"	""	""	""	""	""
"Replicate-2-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshA"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S110"	"∆mshA CDC1551 M.tuberculosis mutant"	""	""	"2"	""	""	"2"	""	""	""	""	""
"Replicate-1-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S111"	"CDC1551 M. tuberculosis wild type"	""	""	"2"	""	""	"1"	""	""	""	""	""
"Replicate-2-batch-2"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S112"	"CDC1551 M. tuberculosis wild type"	""	""	"2"	""	""	"2"	""	""	""	""	""
"Replicate-1-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S113"	"untreated control"	""	""	"3"	""	""	"1"	""	""	"untreated control"	""	""
"Replicate-2-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S114"	"untreated control"	""	""	"3"	""	""	"2"	""	""	"untreated control"	""	""
"Replicate-3-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S115"	"untreated control"	""	""	"3"	""	""	"3"	""	""	"untreated control"	""	""
"Replicate-1-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S116"	"untreated control"	""	""	"3"	""	""	"1"	""	""	"untreated control"	""	""
"Replicate-2-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S117"	"untreated control"	""	""	"3"	""	""	"2"	""	""	"untreated control"	""	""
"Replicate-3-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S118"	"untreated control"	""	""	"3"	""	""	"3"	""	""	"untreated control"	""	""
"Replicate-1-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S119"	"Bacitracin treated"	""	""	"3"	""	""	"1"	""	""	"untreated control"	""	""
"Replicate-2-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S120"	"Bacitracin treated"	""	""	"3"	""	""	"2"	""	""	"untreated control"	""	""
"Replicate-1-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S121"	"Bacitracin treated"	""	""	"3"	""	""	"1"	""	""	"untreated control"	""	""
"Replicate-2-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S122"	"Bacitracin treated"	""	""	"3"	""	""	"2"	""	""	"untreated control"	""	""
"Replicate-2-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S123"	"Fusarate treated"	""	""	"3"	""	""	"2"	""	""	"Fusarate treated"	""	""
"Replicate-3-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S124"	"Fusarate treated"	""	""	"3"	""	""	"3"	""	""	"Fusarate treated"	""	""
"Replicate-2-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S125"	"Fusarate treated"	""	""	"3"	""	""	"2"	""	""	"Fusarate treated"	""	""
"Replicate-3-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S126"	"Fusarate treated"	""	""	"3"	""	""	"3"	""	""	"Fusarate treated"	""	""
"Replicate-2-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S127"	"Azaguanine treated"	""	""	"3"	""	""	"2"	""	""	"Azaguanine treated"	""	""
"Replicate-3-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"S128"	"Azaguanine treated"	""	""	"3"	""	""	"3"	""	""	"Azaguanine treated"	""	""
"Replicate-2-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S129"	"Azaguanine treated"	""	""	"3"	""	""	"2"	""	""	"Azaguanine treated"	""	""
"Replicate-3-batch-3"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S130"	"Azaguanine treated"	""	""	"3"	""	""	"3"	""	""	"Azaguanine treated"	""	""
