"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtA"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S27"	"∆egtA CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtB"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S28"	"∆egtB CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. H37Rv ∆egtB"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S29"	"∆egtB H37Rv M.tuberculosis"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtC"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S30"	"∆egtC CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtD"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S31"	"∆egtD CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtE"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S32"	"∆egtE CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. H37Rv ∆egtE"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S33"	"∆egtE H37Rv M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆mshA"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S34"	"∆mshA CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtA+"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S35"	"∆egtA+ CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
"Replicate-1-batch-1"	"Mycobacterium tuberculosis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1773"	"Mycobacterium tuberculosis str. CDC1551 ∆egtB+"	""	""	"extracellular matrix"	"EFO"	"http://purl.obolibrary.org/obo/GO_0031012"	"Sample collection"	"S36"	"∆egtB+ CDC1551 M.tuberculosis mutant"	""	""	"1"	""	""	"1"	""	""	""	""	""
