"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Experimental Group]"	"Term Source REF"	"Term Accession Number"
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"17"	"D2"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"18"	"D2"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"19"	"F1"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20"	"F1"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"21"	"F1"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"22"	"F1"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"23"	"F1"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"24"	"F1"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"25"	"F2"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"26"	"F2"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"27"	"F2"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"28"	"F2"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"29"	"F2"	""	""
