"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Variety]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Country]"	"Term Source REF"	"Term Accession Number"
"FEM grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRIb"	"Regent"	""	""	"Italy"	""	""
"FEM grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRIc"	"Regent"	""	""	"Italy"	""	""
"FEM grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRId"	"Regent"	""	""	"Italy"	""	""
"FEM grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRIe"	"Regent"	""	""	"Italy"	""	""
"FEM grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRIf"	"Regent"	""	""	"Italy"	""	""
"FEM grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRIg"	"Regent"	""	""	"Italy"	""	""
"FEM grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRIh"	"Regent"	""	""	"Italy"	""	""
"FEM grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRIi"	"Regent"	""	""	"Italy"	""	""
"FEM grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LRIj"	"Regent"	""	""	"Italy"	""	""
"QC"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Phoenix/Vitis vinifera L. cv. Regent"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"QC"	"QC"	""	""	"QC"	""	""
