"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"LRGa"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"L009_005_LRGa_RP_pos"	"L009_005_LRGa_RP_pos01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	""
"LRGb"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"L027_020_LRGb_RP_pos"	"L027_020_LRGb_RP_pos01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	""
"LRGc"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"L012_007_LRGc_RP_pos"	"L012_007_LRGc_RP_pos01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	""
"LRGd"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"L022_016_LRGd_RP_pos"	"L022_016_LRGd_RP_pos01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	""
"LRGe"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"L005_001_LRGe_RP_pos"	"L005_001_LRGe_RP_pos01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	""
"LRGf"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"L017_012_LRGf_RP_pos"	"L017_012_LRGf_RP_pos01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	""
"LRGg"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"L029_022_LRGg_RP_pos"	"L029_022_LRGg_RP_pos01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	""
"LRGh"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"L010_006_LRGh_RP_pos"	"L010_006_LRGh_RP_pos01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	""
"LRGi"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"L031_024_LRGi_RP_pos"	"L031_024_LRGi_RP_pos01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	""
"LRGj"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"L049_039_LRGj_RP_pos"	"L049_039_LRGj_RP_pos01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	""
"LRIa"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"L019_013_LRIa_RP_pos"	"L019_013_LRIa_RP_pos01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	""
"LRIb"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"L034_026_LRIb_RP_pos"	"L034_026_LRIb_RP_pos01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	""
