"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"neg_MM8_1_F.8_01_5714"	"neg_MM8_1_F.8_01_5723"	"neg_MM8_1_F.8_01_5734"	"neg_MM8_1_F.8_01_5744"	"neg_MM8_1_F.8_01_5750"	"neg_MM8_1_F.8_01_5757"	"neg_MM8_1.F.8_01_6617"	"neg_MM8_1.F.8_01_6626"	"neg_MM8_1.F.8_01_6635"	"neg_MM8_1.F.8_01_6646"	"neg_MM8_1.F.8_01_6654"	"neg_MM8_1.F.8_01_7156"	"neg_MM8_1.F.8_01_7157"	"neg_MM8_1.F.8_01_7166"	"neg_MM8_1.F.8_01_7175"	"neg_MM8_1.F.8_01_7185"	"neg_MM8_1.F.8_01_7193"	"neg_MM8_1.F.8_01_7435"	"neg_MM8_1.F.8_01_7436"	"neg_MM8_1.F.8_01_7451"	"neg_MM8_1.F.8_01_7462"	"neg_MM8_1.F.8_01_7475"	"neg_MM8_1.F.8_01_7484"
""	""	""	""	""	" 188.03673"	""	""	""	" 374.42585"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 6.153583"	" 5.694944"	" 6.016781"	""	""	""	""	""	""	" 6.079475"	""	" 5.692681"	" 5.491381"	""	""	""	""
""	""	""	""	""	" 190.92874"	""	""	""	"1187.63083"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 7.911811"	" 8.103567"	""	" 7.784224"	""	""	""	" 7.193608"	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 190.92894"	""	""	""	"1154.19583"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 9.827597"	" 9.788557"	""	" 9.156820"	""	""	""	""	""	""	""	" 8.318711"	""	""	""	""	""
""	""	""	""	""	" 192.02998"	""	""	""	"  90.98257"	""	""	""	""	""	""	""	""	""	""	""	" 7.416297"	" 6.977446"	" 7.539757"	" 7.366689"	" 7.102480"	" 6.846016"	""	""	" 7.278860"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 192.92999"	""	""	""	"1141.07857"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 6.300771"	""	""	""	""	""	""	""	" 6.141366"	""	""	" 5.905122"	" 5.666932"	" 6.063971"
""	""	""	""	""	" 194.08184"	""	""	""	" 578.74833"	""	""	""	""	""	""	""	""	""	""	""	" 8.041343"	" 8.270097"	" 8.267858"	" 8.294909"	" 7.933848"	" 8.268758"	" 7.653047"	" 7.743153"	" 7.928977"	" 7.901067"	" 7.967943"	" 8.011926"	" 8.072250"	" 8.161616"	" 8.199800"	" 8.302018"	" 8.097348"	" 8.180483"	" 8.198785"	" 7.887133"	" 7.807256"	" 7.966587"	" 8.036967"
""	""	""	""	""	" 196.06259"	""	""	""	" 184.63419"	""	""	""	""	""	""	""	""	""	""	""	" 7.210133"	" 7.702807"	" 7.663924"	" 7.323187"	" 7.392992"	" 7.385565"	" 7.067586"	""	" 7.367674"	" 6.460017"	" 6.645861"	""	" 7.219033"	""	" 7.300631"	" 6.802214"	" 7.355697"	""	""	""	""	""	""
""	""	""	""	""	" 199.03759"	""	""	""	"1088.48394"	""	""	""	""	""	""	""	""	""	""	""	""	" 8.561236"	" 9.139157"	" 8.657677"	" 8.327117"	" 9.228193"	""	""	" 8.010224"	" 7.884860"	""	" 8.117453"	""	""	""	""	" 8.100310"	""	""	" 6.331132"	""	""	""
""	""	""	""	""	" 200.03828"	""	""	""	"1089.19152"	""	""	""	""	""	""	""	""	""	""	""	"10.990807"	"10.932911"	"10.867730"	"10.850248"	"11.065529"	"11.189581"	"10.163653"	"10.143148"	"10.483508"	"10.164210"	"10.573070"	"10.310511"	"10.345746"	"10.206014"	"10.425636"	"11.084856"	"11.097102"	"10.407486"	" 9.608976"	" 9.729194"	"10.019939"	"10.502321"	"10.525488"
""	""	""	""	""	" 201.03921"	""	""	""	"1088.96207"	""	""	""	""	""	""	""	""	""	""	""	"12.430187"	"12.442543"	"12.271858"	"12.535760"	"12.451240"	"12.625650"	"11.567453"	"11.671776"	"11.951790"	"11.879453"	"11.706039"	"11.622996"	"11.641050"	"11.687100"	"11.745234"	"11.643318"	"11.688561"	"10.892636"	"11.160330"	"10.997669"	"11.371141"	"11.055482"	"11.490084"
""	""	""	""	""	" 201.03150"	""	""	""	" 387.19338"	""	""	""	""	""	""	""	""	""	""	""	""	""	" 5.677849"	""	""	" 5.949892"	""	""	""	""	""	""	" 5.861128"	" 6.787511"	" 6.005249"	""	" 6.001098"	""	""	" 6.235163"	" 5.868754"	""	""
""	""	""	""	""	" 202.04258"	""	""	""	"1088.81985"	""	""	""	""	""	""	""	""	""	""	""	"10.133252"	" 9.473442"	" 9.239287"	" 9.686582"	"10.222036"	" 9.330535"	" 8.925206"	" 8.923982"	" 8.995582"	" 9.507981"	" 8.822992"	" 8.984580"	" 8.845456"	" 8.791569"	" 8.865471"	" 9.553932"	" 8.789984"	" 8.820221"	""	" 8.956619"	" 8.385516"	" 8.083447"	""
""	""	""	""	""	" 203.04628"	""	""	""	" 387.73508"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 5.946551"	""	" 6.770545"	" 6.959421"	""	" 6.706647"	" 6.204412"	" 6.682950"	""	""	""	" 5.733730"	""	" 6.027670"
""	""	""	""	""	" 203.04367"	""	""	""	"1087.32213"	""	""	""	""	""	""	""	""	""	""	""	""	""	" 8.489189"	""	" 8.157088"	" 8.536892"	" 7.754845"	" 8.141556"	" 7.796954"	""	""	""	""	""	""	""	" 8.267168"	""	""	""	""	""	""
""	""	""	""	""	" 206.97259"	""	""	""	"1145.66128"	""	""	""	""	""	""	""	""	""	""	""	" 9.984582"	" 9.733783"	" 9.887709"	" 9.977649"	"10.083460"	" 9.937681"	" 9.536769"	" 9.667204"	" 9.816156"	" 9.534724"	" 9.459292"	" 9.896122"	" 9.677566"	" 9.731112"	" 9.343325"	" 9.858898"	" 9.885026"	" 9.024643"	""	" 9.351265"	" 9.555898"	" 9.295609"	" 9.306533"
""	""	""	""	""	" 209.07994"	""	""	""	" 308.75778"	""	""	""	""	""	""	""	""	""	""	""	" 6.536900"	" 7.046459"	""	""	""	" 6.326336"	""	" 5.476028"	" 5.784945"	""	""	""	""	""	""	""	" 5.976854"	""	""	""	""	""	""
""	""	""	""	""	" 214.01324"	""	""	""	"  90.89796"	""	""	""	""	""	""	""	""	""	""	""	" 6.562376"	" 7.036465"	" 7.119821"	""	""	""	" 6.211178"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 214.06384"	""	""	""	" 255.65324"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 6.329336"	" 6.696891"	" 6.328137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 214.07315"	""	""	""	" 184.60176"	""	""	""	""	""	""	""	""	""	""	""	"11.987411"	"11.971537"	"12.011830"	"11.764206"	"11.745045"	"11.803916"	"11.484651"	"11.471171"	"11.503323"	"11.495515"	"11.480879"	"11.537217"	"11.647306"	"11.597879"	"11.584802"	"11.591725"	"11.653029"	"10.724508"	"10.770647"	"10.776731"	"10.845279"	"10.847248"	"10.872044"
""	""	""	""	""	" 215.07569"	""	""	""	" 184.49016"	""	""	""	""	""	""	""	""	""	""	""	" 9.941287"	" 9.953172"	" 9.875569"	" 9.760051"	" 9.731811"	" 9.719278"	" 9.597270"	" 9.582720"	" 9.466209"	" 9.484608"	" 9.506615"	" 9.636202"	" 9.468289"	" 9.551179"	" 9.545139"	" 9.613465"	" 9.454724"	" 8.825530"	" 8.773975"	" 8.744600"	" 8.790513"	" 8.986588"	" 8.894009"
""	""	""	""	""	" 215.12814"	""	""	""	" 410.90509"	""	""	""	""	""	""	""	""	""	""	""	""	" 5.788935"	""	" 6.241294"	""	" 6.196232"	""	" 5.230124"	""	""	""	""	""	" 5.742662"	""	""	" 6.268187"	""	""	" 5.660457"	""	""	""
""	""	""	""	""	" 216.01248"	""	""	""	"1099.13750"	""	""	""	""	""	""	""	""	""	""	""	" 7.522223"	" 7.438478"	" 7.482551"	" 7.594782"	" 7.714881"	""	" 7.371335"	" 7.518581"	" 6.936179"	" 7.563808"	" 6.909370"	""	""	""	""	" 7.771981"	" 7.376759"	" 6.696738"	" 6.869680"	" 6.727384"	""	" 6.535439"	" 6.766450"
""	""	""	""	""	" 216.07726"	""	""	""	" 184.12139"	""	""	""	""	""	""	""	""	""	""	""	" 7.150148"	" 7.250607"	" 7.243827"	""	""	" 7.065951"	""	""	" 6.813632"	""	""	""	""	""	""	""	" 6.702530"	""	""	""	" 6.113505"	""	""
""	""	""	""	""	" 217.01295"	""	""	""	"1099.30401"	""	""	""	""	""	""	""	""	""	""	""	" 9.518783"	" 9.351498"	" 9.183579"	" 9.278517"	" 9.412394"	" 9.428380"	" 9.325915"	" 9.213832"	" 8.821572"	" 9.259259"	" 9.092292"	" 9.686143"	" 9.994678"	" 9.607305"	" 9.274751"	" 9.549194"	" 9.365032"	" 8.717873"	" 8.889943"	" 8.508015"	" 8.285049"	" 8.339474"	" 8.708371"
""	""	""	""	""	" 217.06120"	""	""	""	" 202.70458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 6.203772"	""	""	""	" 5.422698"	" 6.103892"	" 5.812180"	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 218.04284"	""	""	""	"  39.27912"	""	""	""	""	""	""	""	""	""	""	""	" 9.486397"	" 9.359442"	" 9.510329"	" 8.961393"	" 9.454475"	" 9.379823"	" 8.659343"	" 8.680055"	" 9.240256"	" 8.792653"	" 8.767240"	" 8.628860"	" 9.214005"	" 9.171929"	" 9.376374"	" 9.434251"	" 8.873327"	" 8.079187"	" 8.059990"	" 8.020318"	" 8.167183"	" 8.605673"	" 8.802717"
