"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"pos_MM8_1.F.8_01_5674"	"pos_MM8_1.F.8_01_5683"	"pos_MM8_1.F.8_01_5692"	"pos_MM8_1.F.8_01_5701"	"pos_MM8_1.F.8_01_5710"	"pos_MM8_1.F.8_01_6577"	"pos_MM8_1.F.8_01_6586"	"pos_MM8_1.F.8_01_6595"	"pos_MM8_1.F.8_01_6604"	"pos_MM8_1.F.8_01_6615"	"pos_MM8_1.F.8_01_7103"	"pos_MM8_1.F.8_01_7104"	"pos_MM8_1.F.8_01_7113"	"pos_MM8_1.F.8_01_7122"	"pos_MM8_1.F.8_01_7131"	"pos_MM8_1.F.8_01_7145"	"pos_MM8_1.F.8_01_7153"	"pos_MM8_1.F.8_01_7360"	"pos_MM8_1.F.8_01_7361"	"pos_MM8_1.F.8_01_7362"	"pos_MM8_1.F.8_01_7365"	"pos_MM8_1.F.8_01_7366"	"pos_MM8_1.F.8_01_7394"	"pos_MM8_1.F.8_01_7397"	"pos_MM8_1.F.8_01_7405"	"pos_MM8_1.F.8_01_7414"	"pos_MM8_1.F.8_01_7423"	"pos_MM8_1.F.8_01_7433"
""	""	""	""	""	" 136.04790"	""	""	""	"  39.06462"	""	""	""	""	""	""	""	""	""	""	""	" 9.069593"	" 8.864772"	" 9.163747"	" 9.191999"	" 9.249690"	" 8.611584"	" 8.576054"	" 8.655919"	" 9.071746"	" 8.751128"	" 8.761550"	" 8.818757"	" 8.724886"	" 8.749616"	" 8.757735"	" 8.740495"	" 8.816270"	" 8.259520"	" 8.338028"	" 8.452979"	" 8.245359"	" 8.378979"	" 8.145559"	" 8.676372"	" 8.349192"	" 8.363227"	" 8.250461"	" 8.424436"
""	""	""	""	""	" 136.04760"	""	""	""	" 267.87817"	""	""	""	""	""	""	""	""	""	""	""	" 9.090627"	" 9.051393"	" 9.106961"	" 9.074009"	" 9.041526"	" 9.264524"	" 9.239515"	" 9.271708"	" 9.310462"	" 9.386080"	" 9.547899"	" 9.505108"	" 9.451657"	" 9.450383"	" 9.487104"	" 9.445579"	" 9.462900"	" 9.187474"	" 9.115057"	" 9.066086"	" 9.116529"	" 9.174365"	" 9.097571"	" 9.110291"	" 9.156072"	" 9.225085"	" 9.070002"	" 9.203477"
""	""	""	""	""	" 136.06150"	""	""	""	" 185.05742"	""	""	""	""	""	""	""	""	""	""	""	""	" 6.328892"	" 6.274698"	" 5.652237"	""	" 7.245746"	" 9.262335"	" 7.605030"	" 7.508380"	" 7.644570"	" 7.905132"	" 7.982303"	" 8.955167"	" 7.537375"	""	" 7.856121"	" 7.979040"	""	""	" 7.315717"	""	" 7.432133"	" 6.924127"	" 7.108730"	" 7.109644"	" 6.873987"	" 7.626606"	" 7.281061"
""	""	""	""	""	" 136.00716"	""	""	""	"1141.20917"	""	""	""	""	""	""	""	""	""	""	""	" 8.330440"	" 7.452248"	" 7.746095"	" 7.426925"	" 7.386980"	" 7.526676"	" 7.009979"	" 6.798427"	" 7.153831"	""	" 7.461099"	" 6.862406"	" 6.914763"	" 6.365860"	" 6.322706"	""	""	""	""	""	""	" 6.057100"	""	" 6.195473"	" 6.305471"	" 6.241653"	" 6.625242"	" 6.289722"
""	""	""	""	""	" 137.03373"	""	""	""	" 268.38533"	""	""	""	""	""	""	""	""	""	""	""	" 8.275930"	" 8.146030"	" 8.224415"	" 8.139499"	" 8.280709"	" 8.538933"	" 8.157762"	" 8.431726"	" 8.500527"	" 8.608953"	" 8.448208"	" 8.459434"	" 8.042208"	" 8.486001"	" 8.171298"	" 8.360800"	" 8.499091"	""	" 6.267550"	" 6.996689"	""	" 6.381344"	""	""	" 6.959357"	""	" 6.484941"	" 6.922500"
""	""	""	""	""	" 137.04884"	""	""	""	"  38.78947"	""	""	""	""	""	""	""	""	""	""	""	" 6.323929"	" 6.688823"	" 6.963093"	" 6.479799"	" 6.602382"	""	""	" 6.049945"	""	""	""	""	" 6.387112"	" 6.341248"	" 6.002965"	""	""	""	""	""	""	" 5.768971"	" 6.187336"	""	""	" 6.087263"	""	""
""	""	""	""	""	" 139.04007"	""	""	""	" 387.32320"	""	""	""	""	""	""	""	""	""	""	""	" 8.816806"	" 8.848018"	" 8.945800"	" 8.933290"	" 8.925860"	" 8.880222"	" 8.658600"	" 8.738568"	" 8.788318"	" 8.978847"	" 9.355694"	" 9.348869"	" 9.169663"	" 9.299048"	" 9.371987"	" 9.336576"	" 9.272513"	" 7.916242"	" 7.948789"	" 7.993008"	" 8.091713"	" 8.214006"	" 8.017996"	" 7.969276"	" 8.154484"	" 8.313987"	" 8.010582"	" 8.075535"
""	""	""	""	""	" 139.54241"	""	""	""	" 387.72485"	""	""	""	""	""	""	""	""	""	""	""	" 7.360992"	" 7.140732"	" 7.303729"	" 7.241664"	" 7.212365"	" 7.151586"	" 6.845489"	" 6.919616"	" 7.137266"	" 6.952502"	" 7.325623"	" 7.499985"	" 7.479776"	" 7.454370"	" 7.628510"	""	" 7.527118"	""	""	""	" 6.378521"	""	""	" 5.766870"	""	""	""	""
""	""	""	""	""	" 139.49339"	""	""	""	"1143.67326"	""	""	""	""	""	""	""	""	""	""	""	""	" 6.778217"	""	" 5.953146"	""	" 7.139851"	" 4.908292"	""	" 6.944348"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" 140.06792"	""	""	""	"  26.68681"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" 7.262382"	" 7.445371"	" 7.093312"	" 7.148949"	" 7.400947"	" 7.415795"	""	" 6.917389"	" 6.399479"	""	""	" 6.768914"	""	""	""	""	""
