"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"X2016.09.27.summer_QC"	"X2016.12.05.autumn_QC"	"X2017.02.08.winter_QC"	"X2017.06.16.spring_QC"	"neg_MM8_1_F.8_01_5714"	"neg_MM8_1_F.8_01_5723"	"neg_MM8_1_F.8_01_5734"	"neg_MM8_1_F.8_01_5744"	"neg_MM8_1_F.8_01_5750"	"neg_MM8_1_F.8_01_5757"	"neg_MM8_1.F.8_01_6617"	"neg_MM8_1.F.8_01_6626"	"neg_MM8_1.F.8_01_6635"	"neg_MM8_1.F.8_01_6646"	"neg_MM8_1.F.8_01_6654"	"neg_MM8_1.F.8_01_7156"	"neg_MM8_1.F.8_01_7157"	"neg_MM8_1.F.8_01_7166"	"neg_MM8_1.F.8_01_7175"	"neg_MM8_1.F.8_01_7185"	"neg_MM8_1.F.8_01_7193"	"neg_MM8_1.F.8_01_7435"	"neg_MM8_1.F.8_01_7436"	"neg_MM8_1.F.8_01_7451"	"neg_MM8_1.F.8_01_7462"	"neg_MM8_1.F.8_01_7475"	"neg_MM8_1.F.8_01_7484"
701.120257378399	701.113467453921	701.156391053417	1097.88920604952	1094.10037578229	1098.96859793965	23	6	3	6	5	1053.02400000004	1145.08799999999	640.752000000024	735.503999999886	1319.136	1079.90399999999	860.591700000014	""	502.207875000006	721.728000000027	""	1162.55999999999	1205.23200000001	781.536000000003	1098.77422222222	764.735999999995	1044.28800000001	609.957499999995	536.255999999987	359.856000000014	501.838588235281	""	536.591999999984
702.07461482795	702.054808405986	702.086873571877	320.137648322877	319.276838408747	321.342008169388	6	3	3	0	0	""	416.405372727273	302.803574999999	""	270.166971428572	""	286.997936842105	""	178.751999999999	242.928	""	""	""	""	""	""	""	""	""	""	""	""	""
702.160858161191	702.124232631077	702.167997600046	1095.44036435991	1094.53373892698	1098.12985190522	15	2	5	4	3	3312.28800000006	2514.95999999995	""	""	""	""	1150.46400000001	1192.80000000005	1323.40814634146	1231.44	905.520000000005	""	""	1799.616	1979.58620689655	1111.488	2012.64	""	550.703999999984	746.255999999999	465.176117647046	""	""
702.663788197433	702.661372202378	702.669079967885	1095.34148821761	1094.59063840602	1097.18909402895	11	2	3	3	3	""	""	2318.39999999991	""	2602.65600000003	""	1346.35200000001	1413.552	""	""	1655.13600000003	""	""	2011.29600000008	1742.63257142855	2120.83199999999	""	""	800.688000000012	536.255999999998	""	""	408.240000000015
702.884867312566	702.876964171434	702.890002817588	1139.98214775493	1138.84337037077	1141.95445285808	20	5	5	6	4	1090.31999999999	1302.67199999995	1003.91647619048	1169.952	""	1161.88799999998	666.623999999994	664.608000000007	542.639999999996	765.743999999994	627.983999999993	670.992000000025	811.439999999994	601.440000000023	596.063999999992	735.168000000028	802.032000000006	451.247999999997	336.672000000013	405.215999999981	284.255999999983	""	""
703.167912577797	703.156189864843	703.171662167225	1095.44036435991	1094.53373892698	1095.65761787229	7	0	3	3	1	""	""	""	""	""	""	950.208000000036	846.720000000008	""	""	922.656000000035	""	1450.17599999997	1401.12000000002	""	1431.69599999998	""	""	""	""	315.007687499994	""	""
705.218494472022	705.211760459138	705.225389636591	372.960689455773	372.636839216714	374.593698729449	20	6	4	6	4	1447.2880105263	1533.16800000001	1398.200025	1403.06368421053	1432.66891764707	1239.09225882354	707.725878260869	491.299476923075	""	554.150034782604	463.422799999998	760.898057142865	773.135999999998	787.583999999997	581.005023529413	645.455999999998	743.567999999999	""	370.608	389.530984615383	281.630850000001	""	350.496138461535
706.225896006839	706.214983295859	706.228162467069	373.143620988002	371.934105786993	374.593698729449	9	5	0	4	0	679.728000000003	""	548.400959999999	575.231999999997	578.345791304347	629.327999999996	""	""	""	""	""	262.1424	288.658360000002	""	257.396890909091	212.041240000002	""	""	""	""	""	""	""
706.829604425375	706.820807567357	706.836079944993	1141.22745744295	1140.1870607551	1142.62207094011	11	6	2	2	1	2142.90359999996	2421.21600000009	1467.64800000006	1646.06399999993	2356.36800000009	1903.10400000001	""	""	405.092647058826	""	633.024000000024	""	""	""	345.407999999998	""	424.704000000016	""	""	231.839999999983	""	""	""
707.083026710295	707.075638599825	707.089602911669	320.548863934961	319.297413034984	321.571194306649	12	6	2	4	0	1818.04226086956	1573.47613846154	1550.75076	1622.87999999999	1547.06956363637	1784.496	525.890756756757	488.982705882355	""	""	""	846.831999999999	1038.38261538462	976.079999999999	1065.3102	""	""	""	""	""	""	""	""
707.470475128113	707.468426516473	707.473126423695	1121.53109649475	1101.14765433825	1135.44330618503	12	1	2	4	0	""	""	""	""	""	29365.056	20274.24	""	""	""	3396.62400000001	5720.73600000006	""	15991.5957662339	3442.32	""	15835.6800000001	""	""	""	""	""	""
708.083457194693	708.068503479749	708.086748440708	321.232345486895	319.820975921503	322.84984905892	4	4	0	0	0	310.463999999999	406.002442105261	""	352.538047058825	""	391.104000000001	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
708.90029834112	708.894995852534	708.903873837132	1140.63399452138	1139.508732254	1141.61162154807	5	0	1	4	0	""	""	""	""	""	""	""	""	487.614285714279	""	""	""	""	341.711999999996	432.767999999994	561.792000000001	664.944000000006	""	""	""	""	""	""
709.07885998259	709.061677936086	709.121514574269	267.555278192927	266.550274167691	268.34321937681	5	3	1	1	0	""	""	354.816000000002	374.304000000002	305.760000000001	""	255.024000000003	""	""	""	""	""	""	238.896000000001	""	""	""	""	""	""	""	""	""
709.487337472243	709.483695564015	709.488595115449	1124.17251235765	1106.92440643863	1136.23354976122	13	3	0	6	0	5909.41799999996	17400.4320000002	3597.57777777777	""	""	""	""	""	""	""	""	4568.59199999992	2720.59200000003	15297.2610352943	7924.56000000003	3898.94400000007	5212.37978181827	""	""	""	""	""	""
710.150354198946	710.140625719708	710.158379959628	1096.94883805305	1096.11388221906	1097.79326067133	10	2	4	4	0	""	""	549.35999999999	""	""	637.055999999958	317.183999999999	276.192	393.792000000002	286.943999999989	""	367.247999999989	546.000000000006	390.432000000001	""	""	444.52800000005	""	""	""	""	""	""
710.650484173919	710.490674013514	710.656185914142	1097.14563045403	1064.26190882663	1117.45156519515	15	4	3	5	0	940.800000000036	1110.47999999998	9091.71762352942	""	""	620.255999999997	387.940153846156	""	279.887999999999	""	332.64	566.159999999976	""	547.344000000021	467.561250000005	561.119999999996	619.248000000005	""	""	""	""	""	""
