"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Site]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Harvest date]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Fresh weight]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"SCH05_Al.pr."	"Alopecurus pratensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/15304"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"2.6212"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN046"
"SCH05_Da.gl."	"Dactylis glomerata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4509"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"5.067"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN048"
"SCH12_Ac.mi."	"Achillea millefolium"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13329"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"0.4973"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN051"
"SCH12_Ga.ve."	"Galium verum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/462873"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"0.3392"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN053"
"SCH12_Ra.ac."	"Ranunculus acris"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3447"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"1.309"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN055"
"SCH12_Da.gl."	"Dactylis glomerata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4509"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"0.6364"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN058"
"SCH22_Ac.mi."	"Achillea millefolium"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13329"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"29.08.2014"	""	""	"1.1168"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN061"
"SCH22_Pl.la."	"Plantago lanceolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/39414"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"29.08.2014"	""	""	"1.0814"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN064"
"SCH22_Ra.ac."	"Ranunculus acris"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3447"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"29.08.2014"	""	""	"1.1647"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN065"
"SCH22_Al.pr."	"Alopecurus pratensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/15304"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"29.08.2014"	""	""	"0.9039"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN066"
"SCH22_Ar.el."	"Arrhenatherum elatius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52139"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"29.08.2014"	""	""	"2.4806"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN067"
"SCH22_Da.gl."	"Dactylis glomerata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4509"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"29.08.2014"	""	""	"2.04"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN068"
"SCH22_Lo.pe."	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"29.08.2014"	""	""	"1.3234"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN069"
"SCH22_Po.pr."	"Poa pratensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4545"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"29.08.2014"	""	""	"1.1978"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN070"
"SCH25_Pl.la."	"Plantago lanceolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/39414"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"26.08.2014"	""	""	"1.2563"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN074"
"SCH25_Ra.ac."	"Ranunculus acris"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3447"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"26.08.2014"	""	""	"1.5619"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN075"
"SCH25_Al.pr."	"Alopecurus pratensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/15304"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"26.08.2014"	""	""	"7.2935"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN076"
"SCH25_Ar.el."	"Arrhenatherum elatius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52139"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"26.08.2014"	""	""	"2.5217"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN077"
"SCH25_Da.gl."	"Dactylis glomerata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4509"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"26.08.2014"	""	""	"20.1417"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN078"
"SCH25_Po.pr."	"Poa pratensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4545"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"26.08.2014"	""	""	"1.3007"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN080"
"SCH27_Ga.mo."	"Galium mollugo"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/254777"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"25.08.2014"	""	""	"0.3517"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN082"
"SCH27_Al.pr."	"Alopecurus pratensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/15304"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"25.08.2014"	""	""	"9.0207"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN086"
"SCH27_Ar.el."	"Arrhenatherum elatius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52139"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"25.08.2014"	""	""	"3.4361"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN087"
"SCH27_Da.gl."	"Dactylis glomerata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4509"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"25.08.2014"	""	""	"3.33"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN088"
"SCH27_Po.pr."	"Poa pratensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4545"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"25.08.2014"	""	""	"0.5728"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN090"
"SCH29_Ga.mo."	"Galium mollugo"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/254777"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"0.2858"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN092"
"SCH29_Ga.ve."	"Galium verum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/462873"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"0.0921"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN093"
"SCH29_Po.pr."	"Poa pratensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4545"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"28.08.2014"	""	""	"0.1898"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN100"
"SCH32_Ac.mi."	"Achillea millefolium"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13329"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"27.08.2014"	""	""	"0.3847"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN101"
"SCH32_Ga.mo."	"Galium mollugo"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/254777"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"27.08.2014"	""	""	"0.7897"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN102"
"SCH32_Ga.ve."	"Galium verum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/462873"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"27.08.2014"	""	""	"0.6141"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN103"
"SCH32_Pl.la."	"Plantago lanceolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/39414"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"27.08.2014"	""	""	"0.4744"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN104"
"SCH32_Ra.ac."	"Ranunculus acris"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3447"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"27.08.2014"	""	""	"1.3184"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN105"
"SCH32_Al.pr."	"Alopecurus pratensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/15304"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"27.08.2014"	""	""	"2.4703"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN106"
"SCH32_Da.gl."	"Dactylis glomerata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4509"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"27.08.2014"	""	""	"0.4508"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN108"
"SCH32_Lo.pe."	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"27.08.2014"	""	""	"1.5126"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN109"
"SCH32_Po.pr."	"Poa pratensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4545"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"27.08.2014"	""	""	"1.2948"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN110"
"SCH33_Ac.mi."	"Achillea millefolium"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13329"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"25.08.2014"	""	""	"0.7902"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN111"
"SCH33_Ra.ac."	"Ranunculus acris"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3447"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"25.08.2014"	""	""	"1.098"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN115"
"SCH33_Da.gl."	"Dactylis glomerata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4509"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"25.08.2014"	""	""	"0.5041"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN118"
"SCH33_Lo.pe."	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"25.08.2014"	""	""	"1.2429"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN119"
"SCH33_Po.pr."	"Poa pratensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4545"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"25.08.2014"	""	""	"0.85"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN120"
"SCH35_Ac.mi."	"Achillea millefolium"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13329"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"02.09.2014"	""	""	"0.4001"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN121"
"SCH35_Ga.mo."	"Galium mollugo"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/254777"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"02.09.2014"	""	""	"0.1648"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN122"
"SCH35_Ga.ve."	"Galium verum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/462873"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"02.09.2014"	""	""	"0.1756"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN123"
"SCH35_Ra.ac."	"Ranunculus acris"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3447"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"02.09.2014"	""	""	"0.5952"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN125"
"SCH35_Al.pr."	"Alopecurus pratensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/15304"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"02.09.2014"	""	""	"0.5614"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN126"
"SCH35_Ar.el."	"Arrhenatherum elatius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52139"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"02.09.2014"	""	""	"1.9723"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN127"
"SCH35_Da.gl."	"Dactylis glomerata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4509"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"02.09.2014"	""	""	"1.447"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN128"
"SCH35_Lo.pe."	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"Exudate"	""	""	"Biospharenreservat Schorfheide-Chorin"	"GAZ"	"http://purl.obolibrary.org/obo/GAZ_00639652"	"02.09.2014"	""	""	"1.2"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"Sample collection"	"SN129"
