"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Plant collection]"	"Term Source REF"	"Term Accession Number"
"British Bluebell-13"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"bulb"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000159"	"Extraction"	"Dotsha13"	"09-Feb-15"	""	""
"British Bluebell-14"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"bulb"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000159"	"Extraction"	"Dotsha14"	"04-Mar-15"	""	""
"British Bluebell-15"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"bulb"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000159"	"Extraction"	"Dotsha15"	"16-Mar-15"	""	""
"British Bluebell-16"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Extraction"	"Dotsha16"	"03-Apr-14"	""	""
"British Bluebell-17"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Extraction"	"Dotsha17"	"16-Apr-14"	""	""
"British Bluebell-18"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Extraction"	"Dotsha18"	"01-May-14"	""	""
"British Bluebell-19"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Extraction"	"Dotsha19"	"15-May-14"	""	""
"British Bluebell-20"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Extraction"	"Dotsha20"	"29-May-14"	""	""
"British Bluebell-21"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Extraction"	"Dotsha21"	"12-Jun-14"	""	""
"British Bluebell-22"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"scape"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001217"	"Extraction"	"Dotsha22"	"03-Apr-14"	""	""
"British Bluebell-23"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"scape"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001217"	"Extraction"	"Dotsha23"	"16-Apr-14"	""	""
"British Bluebell-24"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"scape"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001217"	"Extraction"	"Dotsha24"	"01-May-14"	""	""
"British Bluebell-25"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"scape"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001217"	"Extraction"	"Dotsha25"	"15-May-14"	""	""
"British Bluebell-26"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"scape"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001217"	"Extraction"	"Dotsha26"	"29-May-14"	""	""
"British Bluebell-27"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"scape"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001217"	"Extraction"	"Dotsha27"	"12-Jun-14"	""	""
"British Bluebell-28"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"scape"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001217"	"Extraction"	"Dotsha28"	"03-Jul-14"	""	""
"British Bluebell-29"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"scape"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001217"	"Extraction"	"Dotsha29"	"17-Jul-14"	""	""
"British Bluebell-30"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Extraction"	"Dotsha30"	"24-Mar-14"	""	""
"British Bluebell-31"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Extraction"	"Dotsha31"	"09-Feb-15"	""	""
"British Bluebell-32"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Extraction"	"Dotsha32"	"04-Mar-15"	""	""
"British Bluebell-33"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Extraction"	"Dotsha33"	"16-Mar-15"	""	""
"British Bluebell-34"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"flower"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000469"	"Extraction"	"Dotsha34"	"03-Apr-14"	""	""
"British Bluebell-35"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"flower"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000469"	"Extraction"	"Dotsha35"	"16-Apr-14"	""	""
"British Bluebell-36"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"flower"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000469"	"Extraction"	"Dotsha36"	"01-May-14"	""	""
"British Bluebell-37"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"flower"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000469"	"Extraction"	"Dotsha37"	"15-May-14"	""	""
"British Bluebell-38"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"flower"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000469"	"Extraction"	"Dotsha38"	"29-May-14"	""	""
"British Bluebell-39"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"flower"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000469"	"Extraction"	"Dotsha39"	"12-Jun-14"	""	""
"British Bluebell-40"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"flower"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000469"	"Extraction"	"Dotsha40"	"03-Jul-14"	""	""
"British Bluebell-41"	"Hyacinthoides non-scripta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/81762"	"Hyacinthoides non-scripta (L.) Chouard ex. Rothm."	""	""	"flower"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000469"	"Extraction"	"Dotsha41"	"17-Jul-14"	""	""
"British Bluebell-42"	"blank"	""	""	""	""	""	"solvent"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_46787"	"Extraction"	"MeOH"	"Blank"	""	""
