"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"L01.R3"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"L03.R3"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"L14.R3"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"H01.R3"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"H03.R3"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"H14.R3"
"RPEC/TERT1"	"blank"	""	""	"blank"	""	""	"Sample collection"	"Blank.1"
"RPEC/TERT1"	"blank"	""	""	"blank"	""	""	"Sample collection"	"Blank.2"
"RPEC/TERT1"	"blank"	""	""	"blank"	""	""	"Sample collection"	"Blank.3"
"RPEC/TERT1"	"blank"	""	""	"blank"	""	""	"Sample collection"	"Blank.4"
"RPEC/TERT1"	"blank"	""	""	"blank"	""	""	"Sample collection"	"Blank.5"
"RPEC/TERT1"	"blank"	""	""	"blank"	""	""	"Sample collection"	"Blank.6"
"RPEC/TERT1"	"blank"	""	""	"blank"	""	""	"Sample collection"	"Blank.7"
"RPEC/TERT1"	"blank"	""	""	"blank"	""	""	"Sample collection"	"Blank.8"
"RPEC/TERT1"	"blank"	""	""	"blank"	""	""	"Sample collection"	"Blank.9"
"RPEC/TERT1"	"blank"	""	""	"blank"	""	""	"Sample collection"	"Blank.10"
"RPEC/TERT1"	"blank"	""	""	"blank"	""	""	"Sample collection"	"Blank.11"
