"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Mutant]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Plant Tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"shr"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"shr_callus_5"	"shr"	""	""	"callus"	""	""	"5"	""	""
"shr"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"shr_reg_shoot_1"	"shr"	""	""	"reg-shoot"	""	""	"1"	""	""
"shr"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"shr_reg_shoot_2"	"shr"	""	""	"reg-shoot"	""	""	"2"	""	""
"shr"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"shr_reg_shoot_3"	"shr"	""	""	"reg-shoot"	""	""	"3"	""	""
"shr"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"shr_reg_shoot_4"	"shr"	""	""	"reg-shoot"	""	""	"4"	""	""
"shr"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"shr_reg_shoot_5"	"shr"	""	""	"reg-shoot"	""	""	"5"	""	""
"shr"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"cotyledon"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000300"	"Sample collection"	"shr_cotyledon_1"	"shr"	""	""	"cotyledon"	""	""	"1"	""	""
"shr"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"cotyledon"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000300"	"Sample collection"	"shr_cotyledon_2"	"shr"	""	""	"cotyledon"	""	""	"2"	""	""
"shr"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"cotyledon"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000300"	"Sample collection"	"shr_cotyledon_3"	"shr"	""	""	"cotyledon"	""	""	"3"	""	""
"shr"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"cotyledon"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000300"	"Sample collection"	"shr_cotyledon_4"	"shr"	""	""	"cotyledon"	""	""	"4"	""	""
"shr"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"cotyledon"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000300"	"Sample collection"	"shr_cotyledon_5"	"shr"	""	""	"cotyledon"	""	""	"5"	""	""
