"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V26_BALF"	"200000"	"plaque forming unit "	"UO"	""	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V27_BALF"	"200000"	"plaque forming unit "	"UO"	""	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V28_BALF"	"200000"	"plaque forming unit "	"UO"	""	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V29_BALF"	"200000"	"plaque forming unit "	"UO"	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V30_BALF"	"200000"	"plaque forming unit "	"UO"	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V31_BALF"	"200000"	"plaque forming unit "	"UO"	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V32_BALF"	"200000"	"plaque forming unit "	"UO"	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V37_BALF"	"200000"	"plaque forming unit "	"UO"	""	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V38_BALF"	"200000"	"plaque forming unit "	"UO"	""	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V39_BALF"	"200000"	"plaque forming unit "	"UO"	""	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V40_BALF"	"200000"	"plaque forming unit "	"UO"	""	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V33_BALF"	"200000"	"plaque forming unit "	"UO"	""	"13"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V34_BALF"	"200000"	"plaque forming unit "	"UO"	""	"13"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V35_BALF"	"200000"	"plaque forming unit "	"UO"	""	"13"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LV_X31_V36_BALF"	"200000"	"plaque forming unit "	"UO"	""	"13"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Aichi/02/68 (HA, NA) x A/Puerto Rico/8/34 (X31)"	""	""
