"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[control]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_03"	"with Thalassiosira"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_04"	"with Thalassiosira"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_05"	"with Thalassiosira"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_06"	"with Thalassiosira"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_07"	"cell-free control"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_08"	"cell-free control"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_09"	"with Thalassiosira"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_10"	"with Thalassiosira"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_11"	"with Thalassiosira"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_020211_12"	"with Thalassiosira"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
