"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Derivatisation reagent]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Derivatisation]"	"Term Source REF"	"Term Accession Number"
"Urine"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Lewis"	"EFO"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BT3"	"BSTFA"	""	""	"Automated in-time"	""	""
"Urine"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Lewis"	"EFO"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BT4"	"BSTFA"	""	""	"Automated in-time"	""	""
"Urine"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Lewis"	"EFO"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MB1"	"MSTFA"	""	""	"Automated batch"	""	""
"Urine"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Lewis"	"EFO"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MB2"	"MSTFA"	""	""	"Automated batch"	""	""
"Urine"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Lewis"	"EFO"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MB3"	"MSTFA"	""	""	"Automated batch"	""	""
"Urine"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Lewis"	"EFO"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MB4"	"MSTFA"	""	""	"Automated batch"	""	""
"Urine"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Lewis"	"EFO"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MC1"	"MSTFA"	""	""	"Control (manual)"	""	""
"Urine"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Lewis"	"EFO"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MC2"	"MSTFA"	""	""	"Control (manual)"	""	""
"Urine"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Lewis"	"EFO"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MC3"	"MSTFA"	""	""	"Control (manual)"	""	""
"Urine"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Lewis"	"EFO"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MC4"	"MSTFA"	""	""	"Control (manual)"	""	""
"Urine"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Lewis"	"EFO"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MT1"	"MSTFA"	""	""	"Automated in-time"	""	""
"Urine"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Lewis"	"EFO"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MT2"	"MSTFA"	""	""	"Automated in-time"	""	""
"Urine"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Lewis"	"EFO"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MT3"	"MSTFA"	""	""	"Automated in-time"	""	""
"Urine"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Lewis"	"EFO"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MT4"	"MSTFA"	""	""	"Automated in-time"	""	""
