"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[SA_inhibition]"	"Term Source REF"	"Term Accession Number"	"Factor Value[MRSA_inhibition]"	"Term Source REF"	"Term Accession Number"
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_18"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050214B-04"	"inactive"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050214B-05"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050214B-06"	"inactive"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050214B-07"	"inactive"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050214B-08"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050214B-09"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050214B-10"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050214B-11"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050214B-12"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050214B-14"	"inactive"	""	""	"active"	""	""
