"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Ct-221"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Ct-C-2"	"Ct"	""	""	"2"	""	""
"Ct-298"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Ct-C-3"	"Ct"	""	""	"3"	""	""
"Ct-296"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Ct-C-3"	"Ct"	""	""	"3"	""	""
"Edi-198"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Edi-C-1"	"Edi"	""	""	"1"	""	""
"Edi-175"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Edi-C-1"	"Edi"	""	""	"1"	""	""
"Edi-176"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Edi-C-1"	"Edi"	""	""	"1"	""	""
"Edi-197"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Edi-C-1"	"Edi"	""	""	"1"	""	""
"Edi-173"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Edi-C-1"	"Edi"	""	""	"1"	""	""
"Edi-199"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Edi-C-1"	"Edi"	""	""	"1"	""	""
"Edi-174"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Edi-C-1"	"Edi"	""	""	"1"	""	""
"Edi-200"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Edi-C-2"	"Edi"	""	""	"2"	""	""
"Edi-340"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Edi-C-3"	"Edi"	""	""	"3"	""	""
"Edi-341"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Edi-C-3"	"Edi"	""	""	"3"	""	""
"Edi-343"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Edi-C-3"	"Edi"	""	""	"3"	""	""
