"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Chemical Exposure ]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time point]"	"Unit"	"Term Source REF"	"Term Accession Number"
"ME2-3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU2-3"	"municipal effluents"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME2-4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU2-4"	"municipal effluents"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME2-5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU2-5"	"municipal effluents"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME2-6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU2-6"	"municipal effluents"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME2-7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU2-7"	"municipal effluents"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME2-8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU2-8"	"municipal effluents"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME2-9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU2-9"	"municipal effluents"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME2-10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU2-10"	"municipal effluents"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME3-1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU3-1"	"municipal effluents"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME3-2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU3-2"	"municipal effluents"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME3-3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU3-3"	"municipal effluents"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME3-4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU3-4"	"municipal effluents"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME3-5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU3-5"	"municipal effluents"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME3-6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU3-6"	"municipal effluents"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME3-7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU3-7"	"municipal effluents"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME3-8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU3-8"	"municipal effluents"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME3-9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU3-9"	"municipal effluents"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME3-10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU3-10"	"municipal effluents"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
