"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V11 13 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V11 14 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V12 11 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V12 12 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V12 13 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V12 14 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V2 11 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V2 12 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V2 13 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V2 14 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V3 11 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V3 12 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V3 13 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V3 14 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V4 11 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V4 12 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V4 13 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V4 14 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V5 11 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V5 12 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V5 13 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V5 14 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V6 11 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V6 12 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V6 13 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V6 14 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V7 11 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V7 12 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V7 13 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V7 14 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V8 11 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"v8 12 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V8 13 4"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V8 14 12"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V9 11 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V9 12 2 "	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V9 13 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V9 14 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V1 11 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V1 12 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V10 12 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V11 11 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V11 12 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V12 11 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V12 12 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V2 11 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V2 12 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V3 11 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V3 12 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V4 11 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V4 12 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V5 11 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V5 12 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V6 11 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V6 12 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V7 11 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V7 12 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V8 11 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V8 12 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V9 11 2"	"ACTH 6 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V1 10 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V1 7 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V1 8 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V1 9 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V10 10 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V10 7 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V10 8 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V10 9 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V11  7 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V11 10 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V11 8 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V11 9 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V12 10 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V12 7 2 "	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V12 8 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V12 9 2 "	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V2 10 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V2 7 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V2 8 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V2 9 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V3 10 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V3 18 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V3 7 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V3 8 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V3 9 2 "	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V4 7 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V4 8 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V4 9 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V5 10 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V5 13 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V5 7 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V5 8 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V5 9 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V6 10 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V6 7 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V6 8 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V6 9 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V7 10 2"	"Blank before ACTH treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V7 7 2"	"Blank before ACTH treatment"	""	""
