"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Coronatine treatment]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"10_4_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_CON_3_1"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"10_4_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_CON_3_2"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"10_5_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_CON_4_1"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"10_5_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_CON_4_2"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"4_1_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR0_1_1"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"4_1_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR0_1_2"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"4_3_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR0_2_1"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"4_3_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR0_2_2"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"4_4_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR0_3_1"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"4_4_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_COR0_3_2"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
