"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample dry weight]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Compound]"	"Term Source REF"	"Term Accession Number"
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B4_081"	"41"	""	""	"0.0476"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"4"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B5_082"	"49"	""	""	"0.0344"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"4"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B6_084"	"67"	""	""	"0.0402"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"4"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B7_089"	"77"	""	""	"0.0372"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"4"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B8_090"	"93"	""	""	"0.0395"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"4"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B9_088"	"97"	""	""	"0.0403"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"4"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B10_087"	"111"	""	""	"0.0506"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"4"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B1_075"	"5"	""	""	"0.0385"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"16"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B2_078"	"18"	""	""	"0.0449"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"16"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B3_071"	"26"	""	""	"0.0375"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"16"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
