"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[variety]"	"Term Source REF"	"Term Accession Number"	"Factor Value[drought treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time point of drought duration]"	"Term Source REF"	"Term Accession Number"
"1VII3LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI10521"	"Maresi"	""	""	"C"	""	""	"VII"	""	""
"1VII4LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI10526"	"Maresi"	""	""	"C"	""	""	"VII"	""	""
"1VII2LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI10686"	"Maresi"	""	""	"S3"	""	""	"VII"	""	""
"1VII3LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI10691"	"Maresi"	""	""	"S3"	""	""	"VII"	""	""
"1VII4LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI10696"	"Maresi"	""	""	"S3"	""	""	"VII"	""	""
"1V1LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI10756"	"Maresi"	""	""	"S2"	""	""	"V"	""	""
"1V2LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI10761"	"Maresi"	""	""	"S2"	""	""	"V"	""	""
"1V3LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI10766"	"Maresi"	""	""	"S2"	""	""	"V"	""	""
"1V4LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI10771"	"Maresi"	""	""	"S2"	""	""	"V"	""	""
"1V1LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI10926"	"Maresi"	""	""	"S3"	""	""	"V"	""	""
"1V2LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI10931"	"Maresi"	""	""	"S3"	""	""	"V"	""	""
"1V3LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI10936"	"Maresi"	""	""	"S3"	""	""	"V"	""	""
"1V4LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI10941"	"Maresi"	""	""	"S3"	""	""	"V"	""	""
"1VI1LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8157"	"Maresi"	""	""	"S2"	""	""	"VI"	""	""
"1VIII4LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8164"	"Maresi"	""	""	"C"	""	""	"VIII"	""	""
"1VIII1LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8178"	"Maresi"	""	""	"C"	""	""	"VIII"	""	""
"1VIII3LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8192"	"Maresi"	""	""	"C"	""	""	"VIII"	""	""
"1VIII2LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8206"	"Maresi"	""	""	"C"	""	""	"VIII"	""	""
"1III1LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8360"	"Maresi"	""	""	"C"	""	""	"III"	""	""
"1III2LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8367"	"Maresi"	""	""	"C"	""	""	"III"	""	""
"1IV1LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8493"	"Maresi"	""	""	"C"	""	""	"IV"	""	""
"1IV2LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8500"	"Maresi"	""	""	"C"	""	""	"IV"	""	""
"1IV2LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8654"	"Maresi"	""	""	"S1"	""	""	"IV"	""	""
"1IV3LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8661"	"Maresi"	""	""	"S1"	""	""	"IV"	""	""
"1IV4LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8668"	"Maresi"	""	""	"S1"	""	""	"IV"	""	""
"1IV1LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8710"	"Maresi"	""	""	"S1"	""	""	"IV"	""	""
"1VIII1LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8872"	"Maresi"	""	""	"S2"	""	""	"VIII"	""	""
"1VIII2LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8877"	"Maresi"	""	""	"S2"	""	""	"VIII"	""	""
"1VIII3LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8882"	"Maresi"	""	""	"S2"	""	""	"VIII"	""	""
"1VIII4LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI8887"	"Maresi"	""	""	"S2"	""	""	"VIII"	""	""
"1III3LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9056"	"Maresi"	""	""	"C"	""	""	"III"	""	""
"1III4LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9061"	"Maresi"	""	""	"C"	""	""	"III"	""	""
"1VIII1LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9146"	"Maresi"	""	""	"S3"	""	""	"VIII"	""	""
"1VIII3LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9151"	"Maresi"	""	""	"S3"	""	""	"VIII"	""	""
"1II1LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9288"	"Maresi"	""	""	"S1"	""	""	"II"	""	""
"1II2LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9295"	"Maresi"	""	""	"S1"	""	""	"II"	""	""
"1II4LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9302"	"Maresi"	""	""	"S1"	""	""	"II"	""	""
"1II3LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9428"	"Maresi"	""	""	"S1"	""	""	"II"	""	""
"1III1LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9508"	"Maresi"	""	""	"S1"	""	""	"III"	""	""
"1III2LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9513"	"Maresi"	""	""	"S1"	""	""	"III"	""	""
"1III3LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9518"	"Maresi"	""	""	"S1"	""	""	"III"	""	""
"1III4LS1"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9523"	"Maresi"	""	""	"S1"	""	""	"III"	""	""
"1I2LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9648"	"Maresi"	""	""	"C"	""	""	"I"	""	""
"1I3LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9653"	"Maresi"	""	""	"C"	""	""	"I"	""	""
"1I4LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9658"	"Maresi"	""	""	"C"	""	""	"I"	""	""
"1VI1LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9768"	"Maresi"	""	""	"S3"	""	""	"VI"	""	""
"1VI2LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9782"	"Maresi"	""	""	"S2"	""	""	"VI"	""	""
"1VI3LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9787"	"Maresi"	""	""	"S2"	""	""	"VI"	""	""
"1VI4LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9792"	"Maresi"	""	""	"S2"	""	""	"VI"	""	""
"1VI2LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9897"	"Maresi"	""	""	"S3"	""	""	"VI"	""	""
"1VI3LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9902"	"Maresi"	""	""	"S3"	""	""	"VI"	""	""
"1VI4LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"MARESI9907"	"Maresi"	""	""	"S3"	""	""	"VI"	""	""
"2VI1LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10072"	"Lubuski"	""	""	"C"	""	""	"VI"	""	""
"2VI2LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10077"	"Lubuski"	""	""	"C"	""	""	"VI"	""	""
"2VI3LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10082"	"Lubuski"	""	""	"C"	""	""	"VI"	""	""
"2VI4LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10087"	"Lubuski"	""	""	"C"	""	""	"VI"	""	""
"2VII1LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10237"	"Lubuski"	""	""	"S3"	""	""	"VII"	""	""
"2VII1LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10351"	"Lubuski"	""	""	"S2"	""	""	"VII"	""	""
"2VII2LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10356"	"Lubuski"	""	""	"S2"	""	""	"VII"	""	""
"2VII3LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10361"	"Lubuski"	""	""	"S2"	""	""	"VII"	""	""
"2VII4LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10366"	"Lubuski"	""	""	"S2"	""	""	"VII"	""	""
"2VII1LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10531"	"Lubuski"	""	""	"C"	""	""	"VII"	""	""
"2VII2LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10536"	"Lubuski"	""	""	"C"	""	""	"VII"	""	""
"2VII3LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10541"	"Lubuski"	""	""	"C"	""	""	"VII"	""	""
"2VII4LK"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10546"	"Lubuski"	""	""	"C"	""	""	"VII"	""	""
"2V1LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10776"	"Lubuski"	""	""	"S2"	""	""	"V"	""	""
"2V2LS2"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10781"	"Lubuski"	""	""	"S2"	""	""	"V"	""	""
"2V1LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10946"	"Lubuski"	""	""	"S3"	""	""	"V"	""	""
"2V2LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10951"	"Lubuski"	""	""	"S3"	""	""	"V"	""	""
"2V3LS3"	"Hordeum vulgare"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4513"	"Hordeum vulgare subsp. vulgare"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LUBUSKI10956"	"Lubuski"	""	""	"S3"	""	""	"V"	""	""
