"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cultivation Year]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[CO2 Concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"080314_06_7_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_7_run02"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_10"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_10"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_10_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_10_run02"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_13"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_13"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_13_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_13_run02"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_2"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_2"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_2_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_2_run02"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_5"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_5"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_5_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_5_run02"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_8"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_8"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_8_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_8_run02"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_11"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_11"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_11_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_11_run02"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_14"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_14"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_14_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_14_run02"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
