"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Development stage]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F8.1.1"	"Pericarp"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F8.1.2"	"Pericarp"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F8.2.1"	"Pericarp"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F8.2.2"	"Pericarp"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F8.3.1"	"Pericarp"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F12.1.1"	"Pericarp"	""	""	"12"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F12.1.2"	"Pericarp"	""	""	"12"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F12.2.1"	"Pericarp"	""	""	"12"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F12.2.2"	"Pericarp"	""	""	"12"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F12.3.1"	"Pericarp"	""	""	"12"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F12.3.2"	"Pericarp"	""	""	"12"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F20.1.1"	"Pericarp"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Tomato2006"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"pericarp"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001017"	"Sample collection"	"F20.1.2"	"Pericarp"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
