"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-012"	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"4"	""	""	"Sesame Oil"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66537"
"8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-013"	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"5"	""	""	"Sesame Oil"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66537"
"57"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-014"	"3"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"1"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"58"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-015"	"3"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"2"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"59"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-016"	"3"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"3"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"60"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-017"	"3"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"4"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"61"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-018"	"3"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"5"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"65"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-019"	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"1"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"66"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-020"	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"2"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"70"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-021"	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"3"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"71"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-022"	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"4"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"72"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-023"	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"5"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"75"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-024"	"30"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"1"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"76"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-025"	"30"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"2"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"77"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-026"	"30"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"3"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"78"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-027"	"30"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"4"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"80"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-028"	"30"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"5"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-031"	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"1"	""	""	"Sesame Oil"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66537"
"5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-032"	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"2"	""	""	"Sesame Oil"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66537"
"6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-033"	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"3"	""	""	"Sesame Oil"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66537"
"7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001239"	"Sample collection"	"TQS-RLN-20140623-034"	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"4"	""	""	"Sesame Oil"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66537"
