"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[area]"	"Term Source REF"	"Term Accession Number"	"Factor Value[drug intervention]"	"Term Source REF"	"Term Accession Number"
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-H-4"	"Gansu"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-H-5"	"Gansu"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-H-6"	"Gansu"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-H-7"	"Gansu"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-H-8"	"Gansu"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-SX-AR-L-1"	"Shanxi"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-SX-AR-L-2"	"Shanxi"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-SX-AR-L-3"	"Shanxi"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-SX-AR-L-4"	"Shanxi"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-SX-AR-L-5"	"Shanxi"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-SX-AR-L-6"	"Shanxi"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-SX-AR-L-7"	"Shanxi"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-SX-AR-L-8"	"Shanxi"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-SX-AR-H-1"	"Shanxi"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-SX-AR-H-2"	"Shanxi"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-SX-AR-H-3"	"Shanxi"	""	""	"Drug intervention"	""	""
