"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sex]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G2R3"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G2R5"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G2R6"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G2R7"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G2R8"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G3R1"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G3R2"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G3R3"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G3R4"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G3R5"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G3R6"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G3R7"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G3R8"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G1R1"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G1R2"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G1R3"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G1R4"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G1R5"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G1R6"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G1R7"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G1R8"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G2R1"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G2R2"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G2R3"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G2R4"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G2R6"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G2R7"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G2R8"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G3R2"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G3R3"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G3R4"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G3R5"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G3R6"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G3R7"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T2_G3R8"	"Female"	""	""	"7.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T2_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G1R1"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G1R2"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G1R3"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G1R4"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G1R5"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G1R6"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G1R7"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G1R8"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G2R1"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G2R2"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G2R3"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G2R4"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G2R5"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G2R6"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G2R7"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G2R8"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G3R1"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G3R2"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G3R3"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G3R4"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G3R5"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G3R7"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Vanco-Imi"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T3_G3R8"	"Female"	""	""	"9"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T3_Vanco-Imi"	""	""
