"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Survival]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Timepoint]"	"Term Source REF"	"Term Accession Number"
"Pig Serum 15"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M012412SFR8"	"Lived"	""	""	"Fasted"	""	""	"FR8"	""	""
"Pig Serum 16"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M012412SFR16"	"Lived"	""	""	"Fasted"	""	""	"FR16"	""	""
"Pig Serum 17"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M012412SFR20"	"Lived"	""	""	"Fasted"	""	""	"FR20"	""	""
"Pig Serum 18"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M012412SPR24"	"Lived"	""	""	"Fasted"	""	""	"PR24"	""	""
"Pig Serum 19"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M012412SPR48"	"Lived"	""	""	"Fasted"	""	""	"PR48"	""	""
"Pig Serum 20"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M012412SS45"	"Lived"	""	""	"Fasted"	""	""	"S45"	""	""
"Pig Serum 21"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M012510SB"	"Died"	""	""	"Fasted"	""	""	"B"	""	""
"Pig Serum 22"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M012510SFR2"	"Died"	""	""	"Fasted"	""	""	"FR2"	""	""
"Pig Serum 23"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M012510SFR4"	"Died"	""	""	"Fasted"	""	""	"FR4"	""	""
"Pig Serum 24"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M012510SFR8"	"Died"	""	""	"Fasted"	""	""	"FR8"	""	""
"Pig Serum 25"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M012510SFR16"	"Died"	""	""	"Fasted"	""	""	"FR16"	""	""
"Pig Serum 26"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M012510SFR20"	"Died"	""	""	"Fasted"	""	""	"FR20"	""	""
"Pig Serum 27"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M012510SS45"	"Died"	""	""	"Fasted"	""	""	"S45"	""	""
"Pig Serum 28"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M013111SB"	"Lived"	""	""	"Fasted"	""	""	"B"	""	""
"Pig Serum 29"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M013111SFR2"	"Lived"	""	""	"Fasted"	""	""	"FR2"	""	""
"Pig Serum 30"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M013111SFR4"	"Lived"	""	""	"Fasted"	""	""	"FR4"	""	""
"Pig Serum 31"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M013111SFR8"	"Lived"	""	""	"Fasted"	""	""	"FR8"	""	""
"Pig Serum 32"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M013111SFR16"	"Lived"	""	""	"Fasted"	""	""	"FR16"	""	""
"Pig Serum 33"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M013111SFR20"	"Lived"	""	""	"Fasted"	""	""	"FR20"	""	""
"Pig Serum 34"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M013111SPR24"	"Lived"	""	""	"Fasted"	""	""	"PR24"	""	""
"Pig Serum 35"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M013111SPR48"	"Lived"	""	""	"Fasted"	""	""	"PR48"	""	""
"Pig Serum 36"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M013111SS45"	"Lived"	""	""	"Fasted"	""	""	"S45"	""	""
"Pig Serum 37"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020209SB"	"Lived"	""	""	"Prefed"	""	""	"B"	""	""
"Pig Serum 38"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020209SFR2"	"Lived"	""	""	"Prefed"	""	""	"FR2"	""	""
"Pig Serum 39"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020209SFR4"	"Lived"	""	""	"Prefed"	""	""	"FR4"	""	""
"Pig Serum 40"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020209SFR8"	"Lived"	""	""	"Prefed"	""	""	"FR8"	""	""
"Pig Serum 41"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020209SFR16"	"Lived"	""	""	"Prefed"	""	""	"FR16"	""	""
"Pig Serum 42"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020209SFR20"	"Lived"	""	""	"Prefed"	""	""	"FR20"	""	""
"Pig Serum 43"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020209SPR24"	"Lived"	""	""	"Prefed"	""	""	"PR24"	""	""
"Pig Serum 44"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020209SPR48"	"Lived"	""	""	"Prefed"	""	""	"PR48"	""	""
"Pig Serum 45"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020209SS45"	"Lived"	""	""	"Prefed"	""	""	"S45"	""	""
"Pig Serum 46"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020612SB"	"Lived"	""	""	"Prefed"	""	""	"B"	""	""
"Pig Serum 47"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020612SFR2"	"Lived"	""	""	"Prefed"	""	""	"FR2"	""	""
"Pig Serum 48"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020612SFR4"	"Lived"	""	""	"Prefed"	""	""	"FR4"	""	""
"Pig Serum 49"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020612SFR8"	"Lived"	""	""	"Prefed"	""	""	"FR8"	""	""
"Pig Serum 50"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020612SFR16"	"Lived"	""	""	"Prefed"	""	""	"FR16"	""	""
"Pig Serum 51"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020612SFR20"	"Lived"	""	""	"Prefed"	""	""	"FR20"	""	""
"Pig Serum 52"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020612SPR24"	"Lived"	""	""	"Prefed"	""	""	"PR24"	""	""
"Pig Serum 53"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020612SPR48"	"Lived"	""	""	"Prefed"	""	""	"PR48"	""	""
"Pig Serum 54"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020612SS45"	"Lived"	""	""	"Prefed"	""	""	"S45"	""	""
"Pig Serum 55"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020711SB"	"Lived"	""	""	"Control"	""	""	"B"	""	""
"Pig Serum 56"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020711SFR2"	"Lived"	""	""	"Control"	""	""	"FR2"	""	""
"Pig Serum 57"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020711SFR4"	"Lived"	""	""	"Control"	""	""	"FR4"	""	""
"Pig Serum 58"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020711SFR8"	"Lived"	""	""	"Control"	""	""	"FR8"	""	""
"Pig Serum 59"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020711SFR16"	"Lived"	""	""	"Control"	""	""	"FR16"	""	""
"Pig Serum 60"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020711SFR20"	"Lived"	""	""	"Control"	""	""	"FR20"	""	""
"Pig Serum 61"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020711SPR24"	"Lived"	""	""	"Control"	""	""	"PR24"	""	""
"Pig Serum 62"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020711SPR48"	"Lived"	""	""	"Control"	""	""	"PR48"	""	""
"Pig Serum 63"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M020711SS45"	"Lived"	""	""	"Control"	""	""	"S45"	""	""
"Pig Serum 64"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M021510SB"	"Lived"	""	""	"Fasted"	""	""	"B"	""	""
"Pig Serum 65"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M021510SFR2"	"Lived"	""	""	"Fasted"	""	""	"FR2"	""	""
"Pig Serum 66"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M021510SFR8"	"Lived"	""	""	"Fasted"	""	""	"FR8"	""	""
"Pig Serum 67"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M021510SFR16"	"Lived"	""	""	"Fasted"	""	""	"FR16"	""	""
"Pig Serum 68"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M021510SFR20"	"Lived"	""	""	"Fasted"	""	""	"FR20"	""	""
"Pig Serum 69"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M021510SPR24"	"Lived"	""	""	"Fasted"	""	""	"PR24"	""	""
"Pig Serum 70"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M021510SPR48"	"Lived"	""	""	"Fasted"	""	""	"PR48"	""	""
"Pig Serum 71"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M021510SS45"	"Lived"	""	""	"Fasted"	""	""	"S45"	""	""
"Pig Serum 72"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M022012SB"	"Lived"	""	""	"Fasted"	""	""	"B"	""	""
"Pig Serum 73"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M022012SFR4"	"Lived"	""	""	"Fasted"	""	""	"FR4"	""	""
"Pig Serum 74"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M022012SFR8"	"Lived"	""	""	"Fasted"	""	""	"FR8"	""	""
"Pig Serum 75"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M022012SFR16"	"Lived"	""	""	"Fasted"	""	""	"FR16"	""	""
"Pig Serum 76"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M022012SFR20"	"Lived"	""	""	"Fasted"	""	""	"FR20"	""	""
"Pig Serum 77"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M022012SPR24"	"Lived"	""	""	"Fasted"	""	""	"PR24"	""	""
"Pig Serum 78"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M022012SPR48"	"Lived"	""	""	"Fasted"	""	""	"PR48"	""	""
"Pig Serum 79"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M022012SS45"	"Lived"	""	""	"Fasted"	""	""	"S45"	""	""
"Pig Serum 80"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M022210SB"	"Died"	""	""	"Fasted"	""	""	"B"	""	""
"Pig Serum 81"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M022812SB"	"Died"	""	""	"Prefed"	""	""	"B"	""	""
"Pig Serum 82"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M022812SS45"	"Died"	""	""	"Prefed"	""	""	"S45"	""	""
"Pig Serum 83"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M030209SB"	"Died"	""	""	""	""	""	"B"	""	""
"Pig Serum 84"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M030209SS45"	"Died"	""	""	""	""	""	"S45"	""	""
"Pig Serum 85"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M030512SB"	"Lived"	""	""	"Fasted"	""	""	"B"	""	""
"Pig Serum 86"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M030512SFR2"	"Lived"	""	""	"Fasted"	""	""	"FR2"	""	""
"Pig Serum 87"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M030512SFR4"	"Lived"	""	""	"Fasted"	""	""	"FR4"	""	""
"Pig Serum 88"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M030512SFR8"	"Lived"	""	""	"Fasted"	""	""	"FR8"	""	""
"Pig Serum 89"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M030512SFR16"	"Lived"	""	""	"Fasted"	""	""	"FR16"	""	""
"Pig Serum 90"	"Sus scrofa domesticus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"M030512SFR20"	"Lived"	""	""	"Fasted"	""	""	"FR20"	""	""
