"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Infection]"	"Term Source REF"	"Term Accession Number"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"030415_Trich_Aq_MSMS_2"	"Aqueous wash MS2"	""	""	"Trichoderma"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5543"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"030415_Trich_Org"	"Organic wash MS1"	""	""	"Trichoderma"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5543"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"030415_Trich_Org_MSMS_1"	"Organic wash MS2"	""	""	"Trichoderma"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5543"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"020415_Control_Aq_1"	"Aqueous wash MS1"	""	""	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"020415_Control_Aq_MSMS_1"	"Aqueous wash MS2"	""	""	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"020415_Control_Org_1"	"Organic wash MS1"	""	""	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"020415_Trich_Aq_1"	"Aqueous wash MS1"	""	""	"Trichoderma"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5543"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"020415_Trich_Aq_MSMS_1"	"Aqueous wash MS2"	""	""	"Trichoderma"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5543"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"020415_Trich_Aq_MSMS_2"	"Aqueous wash MS2"	""	""	"Trichoderma"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5543"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"020415_Trich_Org_1"	"Organic wash MS1"	""	""	"Trichoderma"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5543"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"020415_Trich_Org_MSMS_1"	"Organic wash MS2"	""	""	"Trichoderma"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5543"
