"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment ]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Diet ]"	"Term Source REF"	"Term Accession Number"
"Untreated Lean Group-Subject 4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"4B"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"4C"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"5A"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"5B"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"5C"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"6A"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"6B"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"6C"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"7A"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
"Treated Lean Group- Subject 7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"7B"	"PEG-OB(Cys10,Cys13)"	""	""	"Standard Laboratory Diet"	""	""
