"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[stimulus]"	"Term Source REF"	"Term Accession Number"
"3.TM.H_HrH.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.TM.H_HrH.1"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"2.TM.H_HrH.n2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.H_HrH.n2"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"2.TM.H_HrH.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.H_HrH.1"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"2.TM.H_HrH.n4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.H_HrH.n4"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"2.TM.H_HrH.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.H_HrH.2"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"3.TM.H_HrH.n8"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.TM.H_HrH.n8"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"3.TM.H_HrH.n9"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.TM.H_HrH.n9"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"3.TM.DH_LrH.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.TM.DH_LrH.3"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Drought stress plus heat stress with low relative air humidity (DH_LrH)"	""	""
"3.TM.DH_LrH.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.TM.DH_LrH.1"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Drought stress plus heat stress with low relative air humidity (DH_LrH)"	""	""
"3.TM.DH_LrH.n10"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.TM.DH_LrH.n10"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Drought stress plus heat stress with low relative air humidity (DH_LrH)"	""	""
"3.TM.H_LrH.n8"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.TM.H_LrH.n8"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Heat stress with low relative air humidity (H_LrH)"	""	""
"3.TM.H_LrH.n9"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.TM.H_LrH.n9"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Heat stress with low relative air humidity (H_LrH)"	""	""
"3.TM.H_LrH.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.TM.H_LrH.3"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Heat stress with low relative air humidity (H_LrH)"	""	""
"2.DM.D.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.D.2"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress (D)"	""	""
"2.DM.D.n2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.D.n2"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress (D)"	""	""
"2.DM.D.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.D.3"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress (D)"	""	""
"2.DM.D.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.D.1"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress (D)"	""	""
"2.DM.D.n5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.D.n5"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress (D)"	""	""
"2.DM.Control.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.Control.1"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Control"	""	""
"3.DM.Control.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.DM.Control.2"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Control"	""	""
"2.DM.Control.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.Control.3"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Control"	""	""
"2.DM.Control.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.Control.2"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Control"	""	""
"2.DM.Control.n4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.Control.n4"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Control"	""	""
"2.DM.Control.n5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.Control.n5"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Control"	""	""
"3.DM.Control.n8"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.DM.Control.n8"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Control"	""	""
"3.DM.Control.n9"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.DM.Control.n9"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Control"	""	""
"2.DM.DH_HrH.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.DH_HrH.1"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"3.DM.DH_HrH.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.DM.DH_HrH.2"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"2.DM.DH_HrH.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.DH_HrH.2"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"2.DM.DH_HrH.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.DH_HrH.3"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"2.DM.DH_HrH.n4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.DH_HrH.n4"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"2.DM.DH_HrH.n5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.DH_HrH.n5"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"3.DM.DH_HrH.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.DM.DH_HrH.1"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"3.DM.DH_HrH.n9"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.DM.DH_HrH.n9"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"2.DM.H_HrH.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.H_HrH.1"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"3.DM.H_HrH.n10"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.DM.H_HrH.n10"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"2.DM.H_HrH.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.H_HrH.3"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"2.DM.H_HrH.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.H_HrH.2"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"2.DM.H_HrH.n4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.H_HrH.n4"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"2.DM.H_HrH.n5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.DM.H_HrH.n5"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"3.DM.H_HrH.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.DM.H_HrH.3"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
"3.DM.DH_LrH.n8"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.DM.DH_LrH.n8"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress plus heat stress with low relative air humidity (DH_LrH)"	""	""
"3.DM.DH_LrH.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.DM.DH_LrH.3"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress plus heat stress with low relative air humidity (DH_LrH)"	""	""
"3.DM.DH_LrH.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.DM.DH_LrH.2"	"pip2;1 pip2;2 double mutant (DM)"	""	""	"Drought stress plus heat stress with low relative air humidity (DH_LrH)"	""	""
