"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Collision energy]"	"Unit"	"Term Source REF"	"Term Accession Number"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"60_20ev"	"20"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"60_30ev"	"30"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"60_40ev"	"40"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"60_50ev"	"50"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"62_MS"	"0"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"62_20ev"	"20"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"62_30ev"	"30"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"62_40ev"	"40"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"62_50ev"	"50"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"102_MS"	"0"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"102_20ev"	"20"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"102_30ev"	"30"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"102_40ev"	"40"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"102_50ev"	"50"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"111_MS"	"0"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"111_20ev"	"20"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"111_30ev"	"30"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"111_40ev"	"40"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"111_50ev"	"50"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"124_MS"	"0"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"124_20ev"	"20"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"124_30ev"	"30"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"124_40ev"	"40"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"124_50ev"	"50"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"158_MS"	"0"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"158_20ev"	"20"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"158_30ev"	"30"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"158_40ev"	"40"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"158_50ev"	"50"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"175_MS"	"0"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"175_20ev"	"20"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"175_30ev"	"30"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"175_40ev"	"40"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"175_50ev"	"50"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
