"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[EthAc percentage]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E010_B_041"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E030_A_042"	"30"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E055_B_044"	"55"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E090_C_046"	"90"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E085_A_047"	"85"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E090_A_048"	"90"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E005_A_049"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E060_C_050"	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E065_C_051"	"65"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E050_A_053"	"50"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
