"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Food]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Strain]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sex]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Facility]"	"Term Source REF"	"Term Accession Number"
"UNC_CC026_M_21"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC026_M_21"	"UNC"	""	""	"CC026"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC028_F_24"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC028_F_24"	"UNC"	""	""	"CC028"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC028_M_23"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC028_M_23"	"UNC"	""	""	"CC028"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC030_F_26"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC030_F_26"	"UNC"	""	""	"CC030"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC030_M_25"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC030_M_25"	"UNC"	""	""	"CC030"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC032_F_28"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC032_F_28"	"UNC"	""	""	"CC032"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC032_M_27"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC032_M_27"	"UNC"	""	""	"CC032"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC033_F_30"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC033_F_30"	"UNC"	""	""	"CC033"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC033_M_29"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC033_M_29"	"UNC"	""	""	"CC033"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC036_F_32"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC036_F_32"	"UNC"	""	""	"CC036"	""	""	"F"	""	""	"UNC"	""	""
